File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,human_buggy
src/65_paw/spline_paw_fncs.F90,1cd4e40,2.0,2.0,1.0,78.0,17.0,43.0,19.0,1.0,0.0,1.0,1.0,123.0,20.0,45.0,26.0,18.0,61.0,45.0,17.0,28.0,2.0,2.0,1.0,1.0,1.36,2.0,2.0,1.0,0.0
src/42_libpaw/m_pawxmlps.F90,1cd4e40,36.0,35.0,9.0,600.0,56.0,467.0,80.0,7.0,0.0,1.0,7.0,2714.0,293.0,1977.0,155.0,1128.0,459.0,1391.0,155.0,1236.0,135.0,135.0,50.0,6.0,0.23,252.0,248.0,67.0,0.0
src/42_parser/inreplsp.F90,1cd4e40,5.0,5.0,1.0,44.0,12.0,18.0,14.0,1.0,0.0,1.0,1.0,85.0,16.0,20.0,8.0,11.0,51.0,18.0,7.0,11.0,5.0,5.0,1.0,3.0,2.55,5.0,5.0,1.0,0.0
src/65_paw/convert_notation.F90,1cd4e40,11.0,11.0,1.0,64.0,11.0,41.0,12.0,1.0,0.0,1.0,1.0,115.0,14.0,43.0,14.0,28.0,60.0,45.0,11.0,34.0,11.0,11.0,1.0,4.0,1.4,11.0,11.0,1.0,0.0
src/65_paw/pawuj_det.F90,1cd4e40,20.0,20.0,3.0,261.0,40.0,177.0,50.0,2.0,0.0,1.0,1.0,562.0,83.0,356.0,83.0,272.0,138.0,295.0,34.0,261.0,41.0,41.0,6.0,3.0,0.39,41.0,41.0,6.0,0.0
src/67_common/mlwfovlp_radial.F90,1cd4e40,11.0,11.0,1.0,110.0,13.0,75.0,27.0,1.0,0.0,1.0,1.0,161.0,16.0,77.0,34.0,42.0,75.0,57.0,18.0,39.0,11.0,11.0,1.0,3.0,0.97,11.0,11.0,1.0,0.0
src/77_ddb/ddb_internalstr.F90,1cd4e40,71.0,71.0,1.0,422.0,44.0,276.0,103.0,1.0,0.0,1.0,1.0,476.0,48.0,278.0,32.0,245.0,153.0,250.0,28.0,222.0,71.0,71.0,1.0,4.0,0.55,71.0,71.0,1.0,0.0
src/43_ptgroups/ptg_O.F90,1cd4e40,2.0,2.0,1.0,220.0,10.0,198.0,12.0,1.0,0.0,1.0,1.0,260.0,14.0,200.0,21.0,178.0,48.0,190.0,11.0,179.0,2.0,2.0,1.0,1.0,0.24,2.0,2.0,1.0,0.0
src/67_common/mlwfovlp_ylmfac.F90,1cd4e40,23.0,23.0,5.0,222.0,27.0,139.0,72.0,1.0,0.0,1.0,1.0,281.0,31.0,141.0,28.0,112.0,127.0,135.0,26.0,109.0,23.0,23.0,5.0,3.0,0.9,23.0,23.0,5.0,0.0
src/45_geomoptim/m_abiimages.F90,1cd4e40,2.0,2.0,1.0,31.0,9.0,12.0,10.0,2.0,1.0,1.0,2.0,226.0,44.0,47.0,36.0,10.0,138.0,40.0,30.0,10.0,2.0,2.0,1.0,1.0,2.94,4.0,4.0,2.0,0.0
