File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
src/utils/string_to_enum.C,6c4da39,0.0,6.0,0.0,108.0,507.0,55.0,2.0,2.0,2.0,1.0,7.0,0.0,6.0,0.0,0.0,68.0,661.0,106.0,415.0,60.0,316.0,54.0,19.0,76.0,485.0,636.0,153.0,1.0,482.0,4.0,4.0,4.0,1.0,2.0,0.13,138.0,138.0,138.0,68.0,1.0
tests/numerics/laspack_vector_test.C,6c4da39,0.0,0.0,0.0,12.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,0.0,0.0,1.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/fe/h1_fe_transformation.C,6c4da39,8.0,44.0,3.0,116.0,568.0,162.0,7.0,5.0,7.0,2.0,56.0,8.0,42.0,3.0,0.0,5.0,743.0,76.0,301.0,164.0,170.0,39.0,306.0,46.0,161.0,263.0,186.0,0.0,77.0,13.0,10.0,13.0,4.0,3.0,0.13,33.0,24.0,33.0,11.0,1.0
examples/systems_of_equations/systems_of_equations_ex2/systems_of_equations_ex2.C,6c4da39,50.0,135.0,120.0,118.0,296.0,283.0,12.0,12.0,12.0,2.0,290.0,48.0,127.0,119.0,0.0,2.0,669.0,115.0,257.0,76.0,197.0,281.0,18.0,26.0,181.0,204.0,73.0,1.0,130.0,19.0,19.0,19.0,4.0,6.0,1.09,23.0,23.0,24.0,5.0,1.0
src/solvers/nlopt_optimization_solver.C,6c4da39,3.0,12.0,2.0,22.0,53.0,22.0,1.0,2.0,1.0,1.0,15.0,3.0,8.0,2.0,0.0,2.0,94.0,22.0,42.0,26.0,6.0,22.0,4.0,7.0,6.0,19.0,14.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,0.52,2.0,3.0,2.0,2.0,1.0
src/solvers/optimization_solver.C,6c4da39,3.0,12.0,2.0,22.0,53.0,22.0,1.0,2.0,1.0,1.0,15.0,3.0,8.0,2.0,0.0,2.0,94.0,22.0,42.0,26.0,6.0,22.0,4.0,7.0,6.0,19.0,14.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,0.52,2.0,3.0,2.0,2.0,1.0
src/solvers/tao_optimization_solver.C,6c4da39,3.0,12.0,2.0,22.0,53.0,22.0,1.0,2.0,1.0,1.0,15.0,3.0,8.0,2.0,0.0,2.0,94.0,22.0,42.0,26.0,6.0,22.0,4.0,7.0,6.0,19.0,14.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,0.52,2.0,3.0,2.0,2.0,1.0
examples/miscellaneous/miscellaneous_ex9/augment_sparsity_on_interface.C,6c4da39,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/fe/fe_interface.C,6c4da39,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/geom/face.C,6c4da39,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/geom/surface.C,6c4da39,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/mesh/mesh_tetgen_interface.C,6c4da39,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/mesh/mesh_triangle_interface.C,6c4da39,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/quadrature/quadrature_simpson_2D.C,6c4da39,16.0,45.0,21.0,27.0,49.0,36.0,1.0,1.0,1.0,1.0,79.0,0.0,4.0,0.0,0.0,1.0,108.0,11.0,7.0,5.0,0.0,15.0,73.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.14,1.0,1.0,1.0,1.0,1.0
src/systems/diff_system.C,6c4da39,1.0,8.0,1.0,52.0,104.0,28.0,1.0,1.0,1.0,1.0,10.0,1.0,8.0,1.0,0.0,12.0,183.0,52.0,101.0,33.0,42.0,28.0,0.0,3.0,34.0,52.0,14.0,0.0,38.0,3.0,3.0,3.0,1.0,1.0,0.28,17.0,17.0,17.0,12.0,1.0
src/apps/meshbcid.C,6c4da39,11.0,66.0,3.0,31.0,143.0,23.0,13.0,13.0,19.0,3.0,80.0,11.0,66.0,3.0,0.0,2.0,197.0,31.0,133.0,32.0,91.0,23.0,0.0,10.0,72.0,99.0,25.0,1.0,73.0,25.0,25.0,37.0,6.0,4.0,0.17,26.0,26.0,38.0,7.0,1.0
examples/introduction/introduction_ex5/introduction_ex5.C,6c4da39,27.0,41.0,34.0,118.0,149.0,140.0,4.0,4.0,4.0,1.0,101.0,27.0,39.0,34.0,0.0,3.0,405.0,118.0,125.0,52.0,90.0,140.0,2.0,22.0,89.0,100.0,39.0,1.0,60.0,7.0,7.0,7.0,1.0,4.0,1.12,11.0,11.0,11.0,3.0,1.0
doc/statistics/github_traffic_plotclones.py,6c4da39,4.0,24.0,4.0,60.0,197.0,58.0,1.0,1.0,1.0,1.0,537.0,0.0,537.0,1.0,1.0,1.0,549.0,2.0,539.0,3.0,536.0,9.0,8.0,13.0,68.0,11.0,3.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.02,1.0,1.0,1.0,1.0,1.0
