File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,keyword_buggy
src/72_response/dfpt_prtene.F90,f4c5c2f,43.0,43.0,1.0,290.0,24.0,252.0,15.0,1.0,0.0,1.0,1.0,360.0,28.0,254.0,23.0,230.0,81.0,230.0,16.0,214.0,43.0,43.0,1.0,3.0,0.32,43.0,43.0,1.0,0.0
src/77_ddb/get_veloc_tr.F90,f4c5c2f,5.0,5.0,1.0,63.0,15.0,31.0,18.0,1.0,0.0,1.0,1.0,109.0,19.0,33.0,15.0,17.0,60.0,29.0,13.0,16.0,5.0,5.0,1.0,4.0,1.82,5.0,5.0,1.0,0.0
src/42_parser/instrng.F90,f4c5c2f,14.0,14.0,2.0,133.0,16.0,89.0,31.0,2.0,0.0,1.0,1.0,315.0,36.0,180.0,38.0,141.0,106.0,138.0,22.0,116.0,29.0,29.0,5.0,6.0,0.59,29.0,29.0,5.0,0.0
src/56_recipspace/getph.F90,f4c5c2f,7.0,7.0,1.0,70.0,15.0,41.0,15.0,1.0,0.0,1.0,1.0,118.0,19.0,43.0,15.0,27.0,59.0,41.0,13.0,28.0,7.0,7.0,1.0,2.0,1.37,7.0,7.0,1.0,0.0
src/66_wfs/multithreaded_getghc.F90,f4c5c2f,3.0,3.0,0.0,62.0,7.0,41.0,15.0,2.0,0.0,1.0,1.0,206.0,18.0,84.0,36.0,38.0,108.0,65.0,33.0,32.0,7.0,7.0,1.0,3.0,1.29,7.0,7.0,1.0,0.0
src/95_drive/bethe_salpeter.F90,f4c5c2f,27.0,26.0,0.0,465.0,66.0,299.0,117.0,2.0,0.0,1.0,1.0,1023.0,136.0,601.0,242.0,349.0,325.0,477.0,133.0,344.0,54.0,52.0,1.0,4.0,0.54,54.0,52.0,1.0,0.0
src/66_nonlocal/opernl4b.F90,f4c5c2f,37.0,28.0,0.0,339.0,46.0,259.0,35.0,2.0,0.0,1.0,1.0,769.0,96.0,520.0,41.0,478.0,158.0,755.0,26.0,729.0,74.0,56.0,1.0,8.0,0.3,74.0,56.0,1.0,0.0
src/67_common/symrhg.F90,f4c5c2f,11.0,11.0,3.0,105.0,14.0,72.0,26.0,4.0,0.0,1.0,2.0,474.0,59.0,285.0,67.0,217.0,161.0,297.0,38.0,259.0,43.0,43.0,13.0,0.0,0.56,44.0,44.0,14.0,0.0
src/65_paw/pawnabla_init.F90,f4c5c2f,5.0,5.0,0.0,70.0,11.0,48.0,13.0,2.0,0.0,1.0,1.0,195.0,26.0,98.0,37.0,60.0,76.0,65.0,19.0,46.0,10.0,10.0,1.0,3.0,0.78,10.0,10.0,1.0,0.0
src/68_dmft/hubbard_one.F90,f4c5c2f,20.0,20.0,0.0,314.0,21.0,185.0,118.0,4.0,0.0,1.0,3.0,850.0,62.0,451.0,129.0,321.0,367.0,384.0,85.0,299.0,49.0,49.0,1.0,7.0,0.81,80.0,80.0,3.0,0.0
src/67_common/mklocl_realspace.F90,f4c5c2f,5.0,5.0,0.0,96.0,14.0,55.0,27.0,15.0,0.0,4.0,8.0,1410.0,196.0,760.0,181.0,431.0,465.0,551.0,147.0,404.0,54.0,54.0,1.0,8.0,0.61,83.0,83.0,8.0,0.0
src/95_drive/gstate.F90,f4c5c2f,53.0,53.0,0.0,570.0,81.0,366.0,128.0,3.0,0.0,1.0,2.0,1743.0,230.0,1064.0,244.0,751.0,467.0,795.0,140.0,655.0,154.0,154.0,1.0,3.0,0.44,160.0,160.0,2.0,0.0
src/77_ddb/m_phonon_supercell.F90,f4c5c2f,6.0,6.0,1.0,63.0,9.0,42.0,15.0,5.0,1.0,1.0,5.0,524.0,70.0,240.0,95.0,144.0,239.0,219.0,80.0,139.0,16.0,16.0,5.0,5.0,1.0,33.0,33.0,9.0,0.0
src/77_ddb/relaxpol.F90,f4c5c2f,88.0,88.0,1.0,574.0,76.0,428.0,81.0,1.0,0.0,1.0,1.0,648.0,80.0,430.0,68.0,361.0,151.0,389.0,35.0,354.0,88.0,88.0,1.0,8.0,0.35,88.0,88.0,1.0,0.0
src/52_fft_mpi_noabirule/m_fftw3.F90,f4c5c2f,2.0,2.0,1.0,113.0,21.0,64.0,29.0,46.0,1.0,1.0,46.0,8120.0,1345.0,3322.0,630.0,205.0,3575.0,651.0,437.0,214.0,32.0,26.0,1.0,5.0,1.08,103.0,93.0,46.0,0.0
src/77_ddb/harmonic_thermo.F90,f4c5c2f,133.0,133.0,27.0,889.0,128.0,676.0,105.0,1.0,0.0,1.0,1.0,943.0,132.0,678.0,117.0,560.0,155.0,551.0,48.0,503.0,133.0,133.0,27.0,9.0,0.23,133.0,133.0,27.0,0.0
src/68_recursion/vn_nl_rec.F90,f4c5c2f,6.0,6.0,3.0,78.0,14.0,48.0,18.0,1.0,0.0,1.0,1.0,126.0,18.0,50.0,25.0,24.0,62.0,48.0,23.0,25.0,6.0,6.0,3.0,4.0,1.24,6.0,6.0,3.0,0.0
src/43_wvl_wrappers/wvl_denspot_free.F90,f4c5c2f,2.0,2.0,1.0,78.0,9.0,52.0,17.0,1.0,0.0,1.0,1.0,118.0,12.0,54.0,10.0,1.0,54.0,10.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0
src/79_seqpar_mpi/m_lobpcgwf.F90,f4c5c2f,9.0,9.0,1.0,111.0,20.0,64.0,28.0,3.0,1.0,1.0,3.0,410.0,74.0,226.0,101.0,123.0,116.0,205.0,89.0,116.0,16.0,16.0,1.0,3.0,0.51,28.0,28.0,3.0,0.0
src/77_ddb/alignph.F90,f4c5c2f,31.0,31.0,1.0,275.0,28.0,188.0,60.0,1.0,0.0,1.0,1.0,333.0,32.0,190.0,27.0,162.0,114.0,173.0,14.0,159.0,31.0,31.0,1.0,5.0,0.6,31.0,31.0,1.0,0.0
src/43_ptgroups/m_defs_ptgroups.F90,f4c5c2f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,227.0,47.0,69.0,68.0,0.0,113.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0
src/11_qespresso_ext/m_pseudo_pwscf.F90,f4c5c2f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,79.0,4.0,28.0,27.0,0.0,48.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0
src/70_gw/gwls_hamiltonian.F90,f4c5c2f,6.0,6.0,1.0,86.0,20.0,39.0,30.0,19.0,1.0,1.0,19.0,2413.0,459.0,880.0,400.0,479.0,1188.0,760.0,286.0,474.0,38.0,38.0,1.0,4.0,1.35,116.0,116.0,19.0,0.0
src/43_wvl_wrappers/m_abi2big.F90,f4c5c2f,2.0,2.0,1.0,55.0,11.0,28.0,16.0,14.0,1.0,1.0,14.0,1266.0,212.0,432.0,139.0,14.0,648.0,136.0,108.0,28.0,2.0,2.0,1.0,1.0,1.5,28.0,28.0,14.0,0.0
src/67_common/newkpt.F90,f4c5c2f,73.0,73.0,5.0,492.0,75.0,340.0,82.0,1.0,0.0,1.0,1.0,632.0,78.0,342.0,70.0,271.0,219.0,296.0,46.0,250.0,73.0,73.0,5.0,8.0,0.64,73.0,73.0,5.0,0.0
src/41_geometry/smallprim.F90,f4c5c2f,12.0,12.0,2.0,111.0,16.0,58.0,37.0,2.0,0.0,1.0,1.0,271.0,36.0,118.0,19.0,98.0,119.0,121.0,15.0,106.0,25.0,25.0,5.0,3.0,1.01,25.0,25.0,5.0,0.0
src/43_ptgroups/ptg_D3h.F90,f4c5c2f,2.0,2.0,1.0,168.0,11.0,145.0,12.0,1.0,0.0,1.0,1.0,208.0,15.0,147.0,22.0,124.0,48.0,136.0,11.0,125.0,2.0,2.0,1.0,1.0,0.33,2.0,2.0,1.0,0.0
src/72_response/m_eig2d.F90,f4c5c2f,1.0,1.0,1.0,37.0,8.0,16.0,12.0,12.0,1.0,1.0,12.0,798.0,153.0,224.0,116.0,25.0,446.0,125.0,100.0,25.0,2.0,2.0,1.0,1.0,1.99,15.0,15.0,12.0,0.0
src/42_nlstrain/contstr21.F90,f4c5c2f,13.0,13.0,1.0,5765.0,14.0,5729.0,22.0,1.0,0.0,1.0,1.0,5819.0,17.0,5731.0,17.0,5713.0,73.0,654.0,14.0,640.0,13.0,13.0,1.0,2.0,0.01,13.0,13.0,1.0,0.0
src/44_abitypes_defs/m_args_gs.F90,f4c5c2f,1.0,1.0,1.0,27.0,8.0,9.0,10.0,2.0,1.0,1.0,2.0,200.0,42.0,38.0,27.0,10.0,122.0,36.0,26.0,10.0,1.0,1.0,1.0,0.0,3.21,2.0,2.0,2.0,0.0
src/59_ionetcdf/m_crystal_io.F90,f4c5c2f,1.0,1.0,1.0,52.0,10.0,27.0,14.0,4.0,1.0,1.0,4.0,343.0,60.0,128.0,46.0,9.0,163.0,51.0,42.0,9.0,3.0,3.0,1.0,1.0,1.27,6.0,6.0,4.0,0.0
src/43_ptgroups/ptg_C3h.F90,f4c5c2f,2.0,2.0,1.0,126.0,11.0,103.0,12.0,1.0,0.0,1.0,1.0,166.0,15.0,105.0,22.0,82.0,48.0,94.0,11.0,83.0,2.0,2.0,1.0,1.0,0.46,2.0,2.0,1.0,0.0
src/72_response/dfpt_mkvxcstrgga.F90,f4c5c2f,12.0,12.0,1.0,182.0,27.0,106.0,55.0,1.0,0.0,1.0,1.0,236.0,31.0,108.0,34.0,73.0,105.0,80.0,20.0,60.0,12.0,12.0,1.0,3.0,0.97,12.0,12.0,1.0,0.0
src/77_ddb/ramansus.F90,f4c5c2f,32.0,32.0,1.0,189.0,25.0,139.0,32.0,1.0,0.0,1.0,1.0,240.0,29.0,141.0,27.0,113.0,79.0,125.0,20.0,105.0,32.0,32.0,1.0,4.0,0.56,32.0,32.0,1.0,0.0
src/98_main/multibinit.F90,f4c5c2f,23.0,22.0,1.0,358.0,52.0,206.0,102.0,1.0,0.0,1.0,1.0,399.0,55.0,208.0,43.0,163.0,140.0,187.0,39.0,148.0,23.0,22.0,1.0,4.0,0.67,23.0,22.0,1.0,0.0
src/56_recipspace/symg.F90,f4c5c2f,14.0,14.0,1.0,110.0,17.0,69.0,24.0,1.0,0.0,1.0,1.0,157.0,20.0,71.0,20.0,50.0,68.0,76.0,15.0,61.0,14.0,14.0,1.0,3.0,0.96,14.0,14.0,1.0,0.0
src/70_gw/my_calc_wfwfg.F90,f4c5c2f,10.0,10.0,5.0,101.0,19.0,59.0,25.0,2.0,0.0,2.0,2.0,312.0,45.0,121.0,50.0,69.0,153.0,115.0,42.0,73.0,10.0,10.0,5.0,4.0,1.26,20.0,20.0,10.0,0.0
src/68_dmft/m_energy.F90,f4c5c2f,10.0,10.0,1.0,93.0,9.0,64.0,21.0,9.0,1.0,1.0,9.0,1174.0,132.0,617.0,193.0,423.0,446.0,543.0,172.0,371.0,22.0,22.0,1.0,9.0,0.72,93.0,93.0,9.0,0.0
src/42_libpaw/m_pawfgrtab.F90,f4c5c2f,19.0,19.0,2.0,282.0,30.0,195.0,60.0,10.0,0.0,1.0,10.0,1561.0,167.0,985.0,132.0,744.0,429.0,1076.0,126.0,950.0,55.0,55.0,12.0,9.0,0.44,194.0,194.0,21.0,0.0
