hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
bc0e13cafa8a215f92491139fc440e04766ecf14,2018-02-25 17:10:28,4,4,4,2.0,4,4,445.75,27,27.452002314814816,143,7185.5,1.018972507992696,1028,0,0,0
7791fa34703b54b7d74d5afa53bdb4c2ab90c239,2018-02-25 21:08:53,1,3,51,5.3965839500323245,24145,0,0.0,1,0.0,0,2756.0,0.0,284,0,0,0
da5f7ea377d38f12c5edacc143d8308f69bdb730,2018-02-25 21:18:40,5,7,20,3.1033118097318093,5163,0,0.0,1,0.0,0,2791.5,0.0,9,1,1,1
c2a8c6f2de2b05d57fd7e3214944445f65a2ac49,2018-02-25 23:29:53,3,7,27,3.1612695121303207,4141,409,149.1851851851852,27,26.11024519890261,38,2815.0,1.008005113701788,11,0,0,0
e5dee576fd7aea3bed1cfb68834e89de4a43ad00,2018-02-26 11:59:16,3,3,28,4.328684134017784,1987,3899,528.3928571428571,27,0.6113277116402118,30,2842.5,1.2436035141446566,12,0,0,0
34bae55405632a10ef3b4b63a246c28692eaf0e0,2018-02-26 12:30:21,1,1,1,0.0,2,1,1245.0,27,0.897349537037037,63,1533.0,2.114392952496421,52,0,0,0
966df0139e204119c523fac1106a8b2af47f8010,2018-02-26 13:40:24,1,1,1,0.0,65,65,1246.0,27,0.04864583333333333,64,1534.0,21.55674518201285,53,0,0,0
cf17efc6d2394593762b0c889f174d5f3ec1029d,2018-02-26 15:14:50,2,3,11,3.0224166744202225,372,754,317.3636363636364,27,0.6293634259259261,12,2872.0,1.2632488123519712,13,0,0,0
91d9c7420fc3681d028eb4285fea13300d82c38d,2018-02-26 17:10:07,2,3,3,0.7247607816508359,140,96,760.3333333333335,27,0.628082561728395,5,2879.0,3.0385012137783933,360,0,0,0
b036c87d4aedd3e22b0e2356c64ffcfa474ce133,2018-02-26 19:35:11,1,31,187,3.4374148249989207,63,45,36.12299465240642,27,0.02186274509803922,29,2984.0,1.5716888959387545,549,0,0,0
ded3efd17266b521b711f73579a19c8da2f2efe0,2018-02-26 21:31:54,1,14,118,2.822084135582493,132,146,42.30508474576271,27,0.044342827997489016,20,3136.5,1.5674670938351283,667,0,0,0
5c3f4e5890c55531b70ec7d4e6a80350d2dc186e,2018-02-27 08:24:05,1,3,3,0.7732283485249176,25,1,1142.0,30,5.813595679012345,36,8.0,1.2849944375414182,9,0,0,0
c6406ef90c64d537e2cf8a61fbdef158374228ba,2018-02-27 09:13:48,1,1,1,0.0,0,14,486.0,30,0.034525462962962966,7,10.0,29.964130070398927,10,0,0,0
d288ee0425f591da80934661e017fea2838c1eb2,2018-02-27 10:29:54,1,2,4,1.4427711017603897,137,3,1429.75,30,24.786770833333332,35,12.5,1.0163971872548854,14,1,1,1
c5b8f7873a0e6e4ce6d911471d89d2f97f4f9b0d,2018-02-27 10:34:37,1,1,1,0.0,10,2,109.0,30,4.870115740740742,23,377.0,1.2053339290552263,35,0,0,0
730b722b29f00f5af4a779b93f5e4feb21bf6dbc,2018-02-27 11:35:15,2,6,30,1.245037950976528,404,330,67.16666666666667,27,0.15725038580246914,9,3210.5,1.397114883326708,17,0,0,0
7f02e38dbbd7cc5117c18a7c6a90829e96eeedde,2018-02-27 12:27:55,1,1,1,0.0,3,3,117.0,30,0.07868055555555556,24,15.0,13.709620476610768,0,0,0,0
697852f4a5d3eaf3869bd31b2ecbd3f0ee397a65,2018-02-27 14:33:09,2,2,2,0.045516008051233736,3385,6,889.0,27,0.4454976851851852,4,3226.5,2.122340287339898,697,0,0,0
b7d47d8a04c16756b858acaa9e0ef8ae3b361174,2018-02-27 18:50:11,1,1,1,0.0,2,2,1246.0,27,1.2151273148148147,65,1535.0,1.822959033023136,54,0,0,0
bfd42ed7342e275f090bbd052cd37febfe7d456c,2018-02-27 20:26:08,2,3,8,2.737618919454975,469,333,992.75,27,1.0289236111111113,19,3231.5,1.9533348507013133,704,0,0,0
cf8eab9a937d9e949dc73976c12830821403fa38,2018-02-27 22:59:42,1,2,10,2.8532964584475007,420,337,641.4,27,1.151605324074074,24,3240.5,2.1485931076868843,714,0,0,0
a348bf81e9942ef44a45e6fe4939ceee1624ef0d,2018-02-28 01:27:50,1,2,7,2.0419445224634187,384,318,1022.2857142857144,27,0.9445105820105821,21,3249.0,2.7320315872706127,721,0,0,0
96058648db570e1a8b7816663ba95fb92a4cbf68,2018-02-28 09:29:15,1,1,1,0.0,4,0,479.0,30,0.9578819444444444,9,7188.0,2.0439699858629066,833,0,0,0
21f0e708b1f8ca0000a00333b0471884b5417966,2018-02-28 09:41:51,1,1,1,0.0,8,3,483.0,30,0.00875,10,7189.0,115.28571428571428,834,0,0,0
