hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
9b8e9a44f184a42ab2f04263e5f7189dd3388c1b,2005-06-10 21:57:44,1,77,920,8.15495695673992,341666,0,0.0,1,0.0,0,13558.5,0.0,13416,0,0,0
bfeabec618592138428181cf7f66bb68cfbe4314,2005-06-11 03:59:18,1,26,44,3.4021709122379704,313,464,326.25,7,34.71914483375421,566,2416.5,1.0213375602149202,2438,1,1,1
3b7031218bf82282c54786e0dba1c4cb0989934e,2005-06-11 05:11:31,1,6,16,2.853185303555112,98,175,973.9375,7,26.123503327546302,547,2446.5,2.254892585117122,2454,1,1,1
8281432825b5ccf0c6d604712c6605dcfb0024c4,2005-06-11 06:09:00,1,1,2,0.4689955935892812,24,6,714.5,7,0.03991898148148148,102,2455.5,19.788054508553206,2456,1,1,1
958c4dba7ee2b740185e8ff43807f694f5bd66c5,2005-06-11 15:02:11,1,2,2,0.4689955935892812,6,4,3345.5,7,26.235474537037035,108,5375.5,2.2284907077329943,5136,1,0,1
d396552406b93f03c64f12e9ebf1dd00f4303ba0,2005-06-12 14:20:17,1,2,2,0.7424875695421236,247,0,0.0,1,0.0,0,5377.5,0.0,5138,1,0,0
59e92abf86f0349bcc17c05eda15ad737c49e047,2005-06-12 18:36:43,1,29,75,4.484990179766557,130,438,454.0933333333333,7,39.077352160493824,1252,2494.0,1.035099910298419,2531,1,1,1
47a9d9373e8a8598babc414d8846c537f93f9c5b,2005-06-12 18:54:58,1,1,1,0.0,81,0,0.0,1,0.0,0,2532.0,0.0,2532,0,0,0
5b7f4c1f0c4ade7ca9c4178a356e7e86b160cc97,2005-06-12 19:04:23,1,2,2,0.9852281360342516,12,2,161.0,6,250.4165625,51,2533.5,1.0469146052297271,2534,0,0,0
1d84887b0b38b6aec71360510811856588d0ba8b,2005-06-13 01:31:33,1,1,1,0.0,24,6,556.0,7,6.38005787037037,44,5379.0,1.156738390202399,5139,1,0,0
85435771f576ce02dc0a979733d43b5d981be5d1,2005-06-13 09:17:07,1,1,1,0.0,5,1,2497.0,7,0.6113888888888889,13,249.0,2.635620172648796,249,0,0,0
ea4a91e06f70c102d00c3fbd1d6de75016429f47,2005-06-13 14:54:33,1,5,7,2.3415985978227694,479,28,1255.142857142857,7,21.587374338624333,224,65.0,1.3453334766035814,68,1,1,1
d16b76cb3ae435dc98ca468722bad4a050401fda,2005-06-13 20:01:58,1,2,2,0.6840384356390417,96,3,734.5,7,7.7347222222222225,96,5380.5,1.0810299987714709,5141,1,1,0
7cc6d7991c1c36f0fc6e2d3dc42029e2b2fde64f,2005-06-13 20:24:33,1,1,1,0.0,41,41,17.0,6,7.230011574074074,15,5382.0,1.1383123650293834,5142,0,0,0
34e9e1a7c3965eb831f112ac1c304e77998fcd8a,2005-06-13 21:04:43,1,2,3,1.2433355223681115,44,37,206.33333333333331,7,2.7120949074074066,31,5384.0,1.2253280699882645,5145,1,1,1
96533e759f77844ad91234619562b1ec9d439e87,2005-06-14 00:14:56,1,1,1,0.0,22,16,308.0,7,2.844189814814815,5,2535.0,1.3515939740699443,2535,0,0,0
a6adb3251779eb8492d7759cab724c11e5992d2f,2005-06-14 00:16:27,1,1,1,0.0,2,2,314.0,7,0.0010532407407407409,6,2536.0,950.4505494505496,2536,0,0,0
bf0d368379e77586db94558be56795ff3e022123,2005-06-14 16:30:43,1,1,1,0.0,2,2,760.0,7,1.0667824074074077,26,250.0,1.937398285776283,250,0,0,0
ee5d4ac1db68afaa888a94b5d12722ed1b500312,2005-06-14 19:20:38,1,1,1,0.0,3,1,125.0,7,3.639814814814815,3,2537.0,1.2747392520987026,2537,0,0,0
d263fd956c6ca62b5e8590a8a15627175b0bd679,2005-06-14 20:38:44,1,2,2,0.7871265862012691,24,10,492.5,7,18.60141203703704,44,2538.5,1.0276775161696126,2539,0,0,0
f9dcc739c65172edaa569201503ae2840bf850f5,2005-06-14 20:44:05,1,1,1,0.0,2,2,47.0,7,0.0037152777777777783,10,2540.0,270.1588785046729,2540,0,0,0
21abf4b1b2f8b61f1f020791af1094fc46972260,2005-06-16 19:39:02,1,1,1,0.0,27,2,24.0,7,10.135254629629632,12,408.0,1.098665503388201,408,0,0,0
b0b5ab51c927495b9602b299fe0778d4b1edbe99,2005-06-16 23:03:53,1,2,32,4.523126884647137,478,60,200.59375,7,40.58427372685185,446,424.5,1.0036608993767802,440,1,1,1
fe848363b4ad963538ce0669d96746d422ee91e2,2005-06-17 21:23:16,1,1,1,0.0,4,1,346.0,7,0.9301273148148148,24,2541.0,2.0751216355785624,2541,1,0,0
f3d6ecdedaa4b2fb70745f852f637e2643f0fd39,2005-06-20 17:24:34,1,1,1,0.0,197,37,785.0,6,14.105023148148147,13,5386.0,1.0708967287395974,5146,1,1,1
74158c920ed21936472f2a8176ba38c0a3cd3bd6,2005-06-20 19:27:16,1,3,4,1.747625747003954,26,46,345.0,7,59.860008680555566,95,5388.5,1.0073325791916614,5150,1,0,1
56319fbabad97f2ac4c871e7ce49bddc1abedfc8,2005-06-21 21:53:58,1,5,17,2.4253739942540053,421,292,381.64705882352933,7,80.51694376361651,162,5399.0,1.0095818784696615,5167,1,0,0
c3202bb7586103cdb7991fe1b6696a0881d0d84b,2005-06-22 14:04:47,1,1,1,0.0,1,3,403.0,7,0.6741782407407407,2,5408.0,2.4832872667341928,5168,0,0,0
