hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
62f366b6f3db7ab2c86c774d7bf9911ab41e9b89,2013-04-19 17:16:49,1,1,46,5.206402020960918,16313,20348,509.7173913043478,2,76.01728109903384,45,5743.5,1.0012602259707544,47,0,0,0
1f54c64a629a74247ea08acb8e6f746c91cdd636,2013-04-20 12:35:49,1,1,1,0.0,24,24,168.0,9,7.855914351851853,12,15483.0,1.1272926301397714,165,0,0,0
1b33ceb6de607c264b282be5362141689a1e909c,2013-04-20 20:44:01,1,1,1,0.0,10,14,168.0,9,0.33902777777777776,13,15484.0,3.949610815239656,166,0,0,0
cb58eebeddf25aa6fecf219b958351d1bf411bbd,2013-04-21 15:40:21,2,2,2,0.5570819081034161,34,43,82.0,9,64.97603587962963,15,15485.5,1.0077186514519094,167,0,0,0
5771c42933faaabb0cda0f426516f0080ed4102d,2013-04-21 15:53:10,1,1,1,0.0,6,2,145.0,9,0.008900462962962962,15,15487.0,113.35370611183356,168,0,0,0
1c4b6a0d121dd0768977da36cd05c94ece644f2c,2013-04-22 07:29:34,1,8,99,4.165455688490739,4933,687,0.0,1,0.0,0,12390.0,0.0,3678,0,0,0
e80824e86ab658fd74f166d2735c0b13e46a6676,2013-04-22 07:34:28,1,6,52,1.1893014833379263,2606,2182,0.4230769230769231,9,0.34109619836182337,16,12465.5,1.0563793127074652,3730,0,0,0
e5fbb391540f68b3c9e5f7d4de159713f5d55d13,2013-04-22 07:36:32,1,2,3,0.6023530254268241,2003,2273,193.0,9,5.914903549382715,34,12493.0,123.05483783689259,3733,0,0,0
6461d2537eceb2120e31a2f95c1cc770a44b86b2,2013-04-22 07:50:36,1,1,3,1.4367866560800024,92,40,-16.0,1,0.01460648148148148,3,12496.0,42.83835182250397,3736,0,0,0
1e994feccd3b59955e3406d1676f50e1a6ad941e,2013-04-22 21:19:48,2,2,2,0.5746356978376794,14,8,91.0,9,7.204780092592593,25,15488.5,1.0726275919929795,169,0,0,0
c0303c75e49374d9c3fe0b3387bf203aec76106e,2013-04-22 22:59:34,1,1,4,1.2632447597960927,149,0,275.0,1,28.234282407407413,11,15491.5,1.0206210725674127,54,0,0,0
e86d12e0043dd4b0ba6dcf11d9dd290fc64c4087,2013-04-23 19:21:44,1,1,2,0.03186923386363768,125,179,83.5,9,1.5730555555555557,20,12498.5,1.4767790923538762,3738,0,0,0
9ecc96fd3735fc7862d90eb9e4456a4e1fd06268,2013-04-23 19:27:56,1,1,2,0.03186923386363768,179,125,56.5,9,0.004305555555555556,22,12500.5,175.19354838709674,3740,0,0,0
4a1c13cf6368604a4cb18259f723b2c75fae902c,2013-04-24 16:26:32,1,1,1,0.0,633,70,579.0,1,50.90519675925926,6,15494.0,1.019644359783721,55,0,0,0
9654cd8460804d8fd65978e6d4239d5798adc661,2013-04-24 16:34:23,1,1,1,0.0,4,4,98.0,1,50.260173611111114,2,15495.0,1.0198964692748085,56,0,0,0
4716a0714de623f22ac336fd9c77ea2e365a57e6,2013-04-25 09:00:14,1,1,1,0.0,39,39,-3.0,1,3.062962962962963,1,12502.0,1.3264812575574365,3741,0,0,0
b730f79fc5e0c374fcc51209c54393761a3cefcf,2013-04-25 09:00:34,1,1,1,0.0,25,25,1.0,1,3.063194444444445,1,12503.0,1.3264565858082067,3742,0,0,0
21d33de8ffa8d7050274a823d065d2bef5108173,2013-04-25 12:52:52,1,1,1,0.0,11,10,-6.0,1,81.79153935185184,3,12504.0,1.0122262034426102,66,0,0,0
bf82ed0bf63754f8f85cde0325a1cb65b5c2b84b,2013-05-01 13:46:43,1,1,1,0.0,1,1,-1.0,9,20.993587962962962,8,5767.0,1.0476335918264286,473,0,0,0
04521f20247b529bc98d83d71c5ba6dae5e35ea5,2013-05-01 14:04:54,1,1,1,0.0,23,6,19.0,1,22.724537037037038,2,5768.0,1.0440052969338902,92,0,0,0
b466fcc72dd16eecb71dbb4e8228f5fb3626e91f,2013-05-01 21:26:06,1,1,5,1.672933031873368,8,3,234.0,1,29.25226851851852,15,15498.0,1.0156113248576797,61,0,0,0
d2d13e77dc46f9b63e892d639eb6dcd53fd5e979,2013-05-01 21:32:21,1,1,2,0.9709505944546686,12,8,170.0,1,8.93943287037037,8,15501.5,1.0838979397100084,63,0,0,0
88e1c91bcdd58b1396a77cd2b8bceb8f7941ae46,2013-05-01 21:40:47,1,1,1,0.0,9,0,148.0,1,0.005856481481481482,5,15503.0,171.7509881422925,64,0,0,0
1f8be16b180dfc7281432f3b9619c28a5b64b425,2013-05-04 00:31:25,1,1,1,0.0,9,0,157.0,1,2.11849537037037,6,15504.0,1.472033129732624,65,0,0,0
e2ebea3d3064d9808c22d2d54c1a1012758fbfa2,2013-05-08 20:05:02,2,3,3,1.5,6,2,91.33333333333331,9,25.53065972222223,29,2.0,1.0279242093826062,2,0,0,0
52f950a0e2abf85e71fd3dd2cad18c5adbdc4cbf,2013-05-09 17:03:47,1,1,1,0.0,1,1,6.0,8,59.914328703703696,1,5769.0,1.0166904982770535,26,0,0,0
f0dbd812f5b0b8b84a88cbde26a19b8428de9ba0,2013-05-09 17:07:07,1,1,1,0.0,16,0,0.0,9,36.97253472222222,3,5770.0,1.0270471042224474,390,0,0,0
4aea079e4f1feaf3cccb884435e7c5f1598898b4,2013-05-20 09:04:37,1,1,1,0.0,12,0,166.0,1,16.35638888888889,7,15505.0,1.061138189290627,66,0,0,0
5d666467f2cd28d0d9cabef9de54868af3ba55f7,2013-05-20 09:20:30,1,1,1,0.0,1,1,48.0,9,35.028969907407415,10,15509.0,1.028547799225707,377,0,0,0
6091a569d2a1207973e3658657a300c8569f4eaf,2013-05-20 09:30:51,1,1,1,0.0,2,2,196.0,1,18.498958333333334,5,15506.0,1.0540570978095614,67,0,0,0
6a11870456a06c19395695394d76b57133d18f1e,2013-05-20 09:36:41,1,1,2,0.9656361333706098,14,9,187.0,1,0.013159722222222222,14,15507.5,143.425932906144,69,0,0,0
