File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
AmoebaReferenceForce.cpp,296,151,85,58,27,19,26,15,2.6,12,1,1,1,1,13,5,4,5,0
AmoebaReferenceForce.h,142,89,28,21,0,19,0,16,4.24,0,0,0,0,0,0,0,0,0,0
AmoebaReferenceGeneralizedKirkwoodForce.cpp,205,22,42,140,77,64,51,59,0.16,24,1,1,1,1,6,6,0,1,0
AmoebaReferenceGeneralizedKirkwoodForce.h,256,168,40,45,0,40,2,41,3.73,1,1,1,1,1,1,1,0,0,0
AmoebaReferenceInPlaneAngleForce.cpp,284,72,56,154,108,74,76,54,0.47,3,6,6,6,1,71,51,5,16,0
AmoebaReferenceInPlaneAngleForce.h,145,92,20,30,0,27,0,7,3.07,2,1,1,1,1,1,1,0,0,0
AmoebaReferenceKernelFactory.cpp,101,27,18,51,40,8,39,12,0.53,4,4,4,4,3,16,13,1,3,0
AmoebaReferenceKernelFactory.h,45,30,7,6,0,4,0,3,5.0,0,0,0,0,0,0,0,0,0,0
AmoebaReferenceKernels.cpp,1077,68,203,781,505,266,441,235,0.09,74,2,2,2,1,13,11,0,2,0
AmoebaReferenceKernels.h,665,369,39,250,0,217,0,213,1.48,0,0,0,0,0,0,0,0,0,0
AmoebaReferenceMultipoleForce.cpp,6621,310,1202,5107,4261,2423,1900,1852,0.06,110,4,4,4,1,59,46,2,10,0
AmoebaReferenceMultipoleForce.h,1620,959,175,479,57,377,55,234,2.0,26,1,1,1,1,4,4,0,0,0
AmoebaReferenceOutOfPlaneBendForce.cpp,230,57,43,129,90,61,71,47,0.44,2,9,9,10,1,89,64,8,18,0
AmoebaReferenceOutOfPlaneBendForce.h,119,73,18,25,0,22,0,6,2.92,2,1,1,1,1,1,1,0,0,0
AmoebaReferencePiTorsionForce.cpp,226,46,47,130,101,47,85,38,0.35,2,6,6,6,1,89,64,4,21,0
AmoebaReferencePiTorsionForce.h,114,71,19,21,0,18,0,6,3.38,2,1,1,1,1,1,1,0,0,0
AmoebaReferenceStretchBendForce.cpp,186,55,31,97,65,50,48,39,0.57,2,6,6,6,1,67,48,7,12,0
AmoebaReferenceStretchBendForce.h,115,70,19,23,0,20,0,6,3.04,2,1,1,1,1,1,1,0,0,0
AmoebaReferenceTorsionTorsionForce.cpp,600,162,125,311,236,126,171,85,0.52,6,6,6,6,1,77,52,7,19,0
AmoebaReferenceTorsionTorsionForce.h,217,151,26,37,0,34,0,10,4.08,2,1,1,1,1,1,1,0,0,0
AmoebaReferenceVdwForce.cpp,407,48,95,259,164,104,113,83,0.19,24,2,2,2,1,15,11,1,3,0
AmoebaReferenceVdwForce.h,329,198,56,68,3,65,0,43,2.91,1,1,1,1,1,1,1,0,0,0
AmoebaReferenceWcaDispersionForce.cpp,345,29,69,245,202,121,100,113,0.12,3,8,8,9,2,104,81,2,21,0
AmoebaReferenceWcaDispersionForce.h,121,71,19,26,0,23,0,15,2.73,1,1,1,1,1,1,1,0,0,0
AmoebaSerializationProxyRegistration.cpp,95,30,8,20,14,3,15,6,1.5,2,2,2,2,1,9,9,0,0,0
AmoebaStretchBendForce.cpp,78,30,8,36,20,9,21,7,0.83,6,1,1,1,1,6,6,0,0,0
AmoebaStretchBendForce.h,159,103,14,38,4,24,4,17,2.71,4,1,1,1,1,4,4,0,0,0
AmoebaStretchBendForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaStretchBendForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaStretchBendForceProxy.cpp,83,30,8,40,24,14,19,16,0.75,3,3,3,3,1,14,13,0,1,0
AmoebaStretchBendForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaTorsionTorsionForce.cpp,185,36,24,120,90,34,100,32,0.3,8,4,4,4,1,17,15,1,2,0
AmoebaTorsionTorsionForce.h,219,117,28,69,12,38,12,35,1.7,10,1,1,1,1,4,3,0,0,0
AmoebaTorsionTorsionForceImpl.cpp,160,36,28,92,48,36,46,40,0.39,6,3,3,3,1,17,13,1,3,0
AmoebaTorsionTorsionForceImpl.h,73,37,9,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaTorsionTorsionForceProxy.cpp,145,37,20,83,60,33,51,35,0.45,4,4,4,4,1,26,20,2,4,0
AmoebaTorsionTorsionForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaVdwForce.cpp,127,30,21,72,30,20,35,21,0.42,16,1,1,1,1,5,4,0,0,0
AmoebaVdwForce.h,263,167,30,62,8,42,8,37,2.69,6,1,1,1,1,4,4,0,0,0
AmoebaVdwForceImpl.cpp,261,68,26,169,134,79,74,84,0.4,7,4,4,4,1,30,23,5,2,0
AmoebaVdwForceImpl.h,80,41,9,24,2,16,2,15,1.71,3,1,1,1,1,3,3,1,0,0
AmoebaVdwForceProxy.cpp,106,31,17,53,37,17,33,19,0.58,3,3,3,3,1,21,17,0,4,0
AmoebaVdwForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaWcaDispersionForce.cpp,136,30,24,77,32,22,33,23,0.39,22,1,1,1,1,3,3,0,0,0
AmoebaWcaDispersionForce.h,165,89,17,55,4,41,4,40,1.62,4,1,1,1,1,3,3,0,0,0
AmoebaWcaDispersionForceImpl.cpp,141,31,21,85,57,37,36,41,0.36,8,2,2,2,1,12,10,0,1,0
AmoebaWcaDispersionForceImpl.h,91,51,10,24,2,16,2,15,2.12,3,1,1,1,1,3,3,1,0,0
AmoebaWcaDispersionForceProxy.cpp,95,30,13,47,34,11,31,13,0.64,3,2,2,2,1,18,15,0,3,0
AmoebaWcaDispersionForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AndersenThermostat.cpp,45,30,4,8,2,3,3,3,3.75,2,1,1,1,1,4,4,0,0,0
AndersenThermostat.h,143,91,7,40,11,18,9,17,2.27,9,1,1,1,1,3,3,0,0,0
AndersenThermostatImpl.cpp,100,33,13,48,24,20,28,22,0.69,7,2,2,2,1,8,7,0,1,0
