index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
820,Kokkos_TaskQueue_impl.hpp,8.0,21.0,15.0,138.0,300.0,247.0,3.0,3.0,4.0,1.0,44.0,8.0,16.0,15.0,0.0,13.0,682.0,138.0,235.0,103.0,123.0,247.0,47.0,18.0,101.0,147.0,58.0,2.0,87.0,6.0,6.0,8.0,3.0,4.0,1.05,44.0,44.0,49.0,17.0,0
822,pppm_intel.cpp,8.0,50.0,3.0,160.0,798.0,116.0,8.0,8.0,8.0,1.0,62.0,8.0,44.0,3.0,0.0,15.0,1073.0,160.0,666.0,250.0,496.0,116.0,47.0,120.0,526.0,643.0,242.0,6.0,395.0,20.0,20.0,20.0,1.0,4.0,0.17,115.0,115.0,127.0,15.0,0
823,pppm_intel.h,0.0,7.0,0.0,19.0,78.0,26.0,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,1.0,3.0,123.0,17.0,63.0,42.0,12.0,26.0,5.0,12.0,34.0,41.0,32.0,0.0,9.0,2.0,2.0,2.0,1.0,1.0,0.41,6.0,6.0,6.0,3.0,0
824,fft3d_wrap.h,0.0,0.0,0.0,8.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,8.0,12.0,9.0,0.0,21.0,0.0,5.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0
825,pair_coul_long_omp.cpp,5.0,34.0,1.0,31.0,154.0,18.0,5.0,5.0,6.0,1.0,39.0,5.0,34.0,1.0,0.0,4.0,202.0,31.0,136.0,28.0,95.0,18.0,1.0,18.0,98.0,120.0,26.0,0.0,94.0,12.0,12.0,15.0,1.0,5.0,0.13,21.0,21.0,25.0,4.0,0
826,pair_coul_long_omp.h,0.0,0.0,0.0,13.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,11.0,11.0,8.0,0.0,15.0,3.0,8.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0
827,nstencil_full_bin_2d.h,0.0,1.0,0.0,10.0,19.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,44.0,8.0,8.0,6.0,0.0,15.0,6.0,7.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.88,1.0,1.0,1.0,1.0,0
828,fix_meso.cpp,2.0,16.0,1.0,32.0,130.0,26.0,3.0,3.0,3.0,1.0,19.0,2.0,16.0,1.0,0.0,7.0,186.0,32.0,113.0,44.0,84.0,26.0,0.0,17.0,79.0,101.0,45.0,0.0,56.0,5.0,5.0,5.0,1.0,3.0,0.23,20.0,20.0,21.0,7.0,0
829,fix_meso.h,0.0,0.0,0.0,11.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,9.0,19.0,15.0,0.0,12.0,3.0,7.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0
830,TestOpenMPTarget_MDRange.cpp,0.0,0.0,0.0,3.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
831,TestMDRange.hpp,7.0,25.0,0.0,727.0,2308.0,99.0,5.0,5.0,5.0,1.0,32.0,7.0,24.0,0.0,0.0,88.0,3118.0,727.0,2265.0,1060.0,1112.0,99.0,0.0,43.0,1658.0,2155.0,1107.0,0.0,1048.0,73.0,73.0,73.0,1.0,7.0,0.04,396.0,396.0,396.0,88.0,0
832,lal_buck_coul.cpp,2.0,14.0,0.0,24.0,119.0,20.0,2.0,2.0,2.0,1.0,16.0,2.0,14.0,0.0,0.0,7.0,163.0,24.0,109.0,36.0,70.0,20.0,2.0,9.0,56.0,72.0,21.0,0.0,51.0,5.0,5.0,6.0,1.0,1.0,0.18,15.0,15.0,16.0,7.0,0
835,lal_buck_coul.h,0.0,0.0,0.0,16.0,34.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0,16.0,30.0,27.0,0.0,36.0,0.0,4.0,16.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0
836,pair_polymorphic.h,0.0,9.0,0.0,32.0,272.0,76.0,3.0,3.0,3.0,1.0,10.0,0.0,9.0,0.0,2.0,21.0,369.0,30.0,263.0,91.0,139.0,76.0,3.0,8.0,199.0,252.0,84.0,0.0,168.0,10.0,10.0,10.0,4.0,3.0,0.29,54.0,54.0,55.0,24.0,0
837,phonon.cpp,8.0,43.0,3.0,174.0,825.0,116.0,11.0,11.0,11.0,3.0,54.0,7.0,39.0,2.0,0.0,19.0,1111.0,160.0,737.0,186.0,599.0,107.0,93.0,19.0,718.0,891.0,186.0,0.0,705.0,41.0,41.0,41.0,13.0,5.0,0.15,203.0,203.0,213.0,63.0,0
838,phonon.h,0.0,0.0,0.0,16.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,16.0,33.0,29.0,0.0,0.0,2.0,10.0,30.0,31.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
839,green.h,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,5.0,16.0,13.0,0.0,0.0,0.0,4.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
840,timer.h,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,6.0,12.0,9.0,0.0,0.0,0.0,6.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
842,compute_body_local.h,0.0,0.0,0.0,14.0,26.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,12.0,18.0,15.0,0.0,33.0,3.0,7.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0
843,BodyForce.h,0.0,3.0,0.0,7.0,49.0,12.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,8.0,68.0,7.0,42.0,23.0,11.0,12.0,0.0,7.0,21.0,25.0,19.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.29,8.0,8.0,8.0,8.0,0
844,lal_base_dipole.h,0.0,5.0,0.0,39.0,96.0,65.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,6.0,200.0,39.0,85.0,60.0,17.0,65.0,1.0,11.0,46.0,55.0,39.0,0.0,16.0,2.0,2.0,2.0,1.0,1.0,0.76,8.0,8.0,8.0,6.0,0
845,fix_nvt_manifold_rattle.h,0.0,0.0,0.0,24.0,40.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,155.0,22.0,32.0,29.0,1.0,93.0,3.0,7.0,27.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0
846,fix_nve_manifold_rattle.h,0.0,2.0,1.0,27.0,56.0,91.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,172.0,25.0,47.0,43.0,1.0,91.0,3.0,8.0,37.0,40.0,40.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.94,2.0,2.0,2.0,2.0,0
847,compute_improper.h,0.0,0.0,0.0,11.0,21.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,9.0,13.0,10.0,0.0,43.0,3.0,7.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0
848,fix_store.cpp,2.0,13.0,1.0,62.0,208.0,75.0,5.0,5.0,5.0,1.0,17.0,2.0,13.0,1.0,0.0,15.0,345.0,62.0,200.0,41.0,141.0,75.0,0.0,8.0,138.0,209.0,41.0,0.0,168.0,24.0,24.0,26.0,1.0,4.0,0.38,69.0,69.0,72.0,15.0,0
849,pair_lj_cut_thole_long.cpp,4.0,32.0,1.0,96.0,536.0,62.0,7.0,7.0,8.0,1.0,36.0,4.0,32.0,1.0,0.0,16.0,694.0,96.0,509.0,84.0,400.0,62.0,0.0,27.0,384.0,492.0,83.0,0.0,409.0,26.0,26.0,33.0,8.0,7.0,0.12,109.0,109.0,125.0,25.0,0
