index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
3417,ntopo_dihedral_partial.cpp,3.0,35.0,0.0,12.0,82.0,14.0,7.0,7.0,10.0,3.0,38.0,3.0,35.0,0.0,0.0,2.0,108.0,12.0,71.0,18.0,53.0,14.0,0.0,11.0,47.0,61.0,17.0,0.0,44.0,12.0,12.0,19.0,5.0,4.0,0.2,13.0,13.0,20.0,6.0,0
3418,ntopo_dihedral_partial.h,0.0,1.0,0.0,10.0,16.0,23.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,49.0,8.0,8.0,6.0,0.0,23.0,3.0,7.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.88,1.0,1.0,1.0,1.0,0
3419,Kokkos_Threads_ViewCopyETIInst_int64_t_int_LayoutStride_Rank5.cpp,0.0,0.0,0.0,2.0,10.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,8.0,4.0,0.0,42.0,0.0,2.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,2
3420,compute_edpd_temp_atom.cpp,1.0,10.0,0.0,19.0,58.0,20.0,3.0,3.0,3.0,1.0,11.0,1.0,10.0,0.0,0.0,5.0,97.0,19.0,49.0,14.0,28.0,20.0,0.0,9.0,27.0,41.0,13.0,0.0,28.0,4.0,4.0,5.0,1.0,2.0,0.41,13.0,13.0,14.0,5.0,0
3421,compute_edpd_temp_atom.h,0.0,0.0,0.0,10.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,8.0,13.0,10.0,0.0,12.0,3.0,7.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0
3422,TestSerial_Vector.cpp,0.0,0.0,0.0,3.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3423,fix.cpp,4.0,26.0,2.0,59.0,243.0,89.0,6.0,6.0,7.0,1.0,31.0,4.0,26.0,2.0,0.0,9.0,391.0,59.0,233.0,28.0,181.0,89.0,0.0,10.0,172.0,231.0,26.0,0.0,205.0,22.0,22.0,22.0,1.0,4.0,0.38,57.0,57.0,61.0,9.0,8
3424,dump_cfg_gz.cpp,2.0,16.0,2.0,29.0,106.0,31.0,4.0,4.0,4.0,1.0,20.0,2.0,16.0,2.0,0.0,6.0,166.0,29.0,99.0,15.0,70.0,31.0,0.0,7.0,59.0,85.0,14.0,0.0,71.0,12.0,12.0,12.0,1.0,3.0,0.31,25.0,25.0,25.0,6.0,0
3425,improper_cossq_omp.cpp,12.0,51.0,15.0,44.0,167.0,62.0,7.0,7.0,9.0,1.0,77.0,12.0,50.0,15.0,0.0,3.0,272.0,44.0,152.0,23.0,118.0,62.0,1.0,15.0,108.0,130.0,21.0,0.0,109.0,12.0,12.0,17.0,1.0,4.0,0.41,21.0,21.0,27.0,3.0,0
3426,improper_cossq_omp.h,0.0,0.0,0.0,12.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,10.0,10.0,7.0,0.0,15.0,3.0,8.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0
