index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,pair_gw.h,0.0,6.0,0.0,28.0,103.0,78.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,6.0,194.0,26.0,95.0,77.0,17.0,78.0,3.0,7.0,72.0,79.0,67.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.82,6.0,6.0,6.0,6.0,0.0
1,pair.h,0.0,1.0,0.0,53.0,172.0,184.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,25.0,361.0,53.0,168.0,155.0,12.0,184.0,0.0,4.0,129.0,155.0,147.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,1.10,25.0,25.0,25.0,25.0,0.0
2,fix_nh_intel.h,0.0,0.0,0.0,10.0,22.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,163.0,10.0,18.0,15.0,0.0,131.0,0.0,4.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,0.0,0.0,0.0,0.0,0.0
3,fix_nh.h,0.0,0.0,0.0,25.0,108.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,279.0,25.0,104.0,101.0,0.0,188.0,0.0,4.0,99.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0
4,Kokkos_Qthreads.hpp,0.0,0.0,0.0,44.0,73.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,3.0,0.0,0.0,0.0,44.0,150.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
5,Kokkos_Macros.hpp,0.0,0.0,0.0,98.0,270.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,73.0,0.0,0.0,0.0,135.0,199.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
6,Kokkos_OldMacros.hpp,0.0,0.0,0.0,86.0,386.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,3.0,0.0,0.0,0.0,44.0,469.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
7,Kokkos_Core_fwd.hpp,0.0,1.0,0.0,63.0,196.0,107.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,345.0,62.0,88.0,84.0,2.0,89.0,69.0,54.0,38.0,50.0,49.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.01,3.0,3.0,3.0,3.0,0.0
11,Kokkos_HostSpace.hpp,0.0,5.0,0.0,66.0,152.0,105.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,2.0,5.0,311.0,66.0,119.0,95.0,18.0,100.0,13.0,26.0,47.0,63.0,57.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.84,5.0,5.0,5.0,5.0,0.0
12,Kokkos_ScratchSpace.hpp,0.0,12.0,3.0,23.0,84.0,63.0,2.0,2.0,2.0,1.0,14.0,0.0,9.0,1.0,1.0,4.0,163.0,23.0,68.0,42.0,21.0,57.0,12.0,10.0,32.0,41.0,25.0,0.0,16.0,5.0,5.0,5.0,1.0,2.0,0.84,8.0,8.0,8.0,4.0,0.0
13,Kokkos_Parallel.hpp,3.0,16.0,0.0,75.0,310.0,243.0,1.0,1.0,1.0,1.0,19.0,3.0,8.0,0.0,0.0,12.0,622.0,75.0,195.0,116.0,40.0,243.0,63.0,55.0,54.0,72.0,45.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,1.25,12.0,12.0,12.0,12.0,0.0
14,Kokkos_Layout.hpp,0.0,8.0,0.0,29.0,106.0,108.0,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,0.0,6.0,241.0,29.0,100.0,81.0,50.0,108.0,0.0,6.0,48.0,68.0,54.0,0.0,14.0,6.0,6.0,6.0,1.0,2.0,1.08,11.0,11.0,11.0,6.0,0.0
15,Kokkos_Tags.hpp,0.0,0.0,0.0,12.0,19.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,12.0,4.0,4.0,0.0,59.0,0.0,15.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,0.0,0.0,0.0,0.0,0.0
16,KokkosExp_MDRangePolicy.hpp,2.0,115.0,11.0,56.0,438.0,112.0,8.0,8.0,11.0,1.0,124.0,2.0,33.0,1.0,1.0,2.0,589.0,40.0,144.0,58.0,75.0,81.0,297.0,60.0,70.0,118.0,68.0,0.0,50.0,9.0,9.0,13.0,1.0,4.0,0.56,15.0,15.0,22.0,2.0,0.0
18,Kokkos_QthreadsExec.hpp,0.0,0.0,0.0,133.0,410.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,3.0,0.0,0.0,0.0,43.0,594.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
19,Kokkos_Qthreads_Parallel.hpp,0.0,0.0,0.0,132.0,514.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,3.0,0.0,0.0,0.0,43.0,690.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
20,Kokkos_OpenMP_ViewCopyETIInst_int64_t_double_LayoutLeft_Rank2.cpp,0.0,0.0,0.0,2.0,10.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,8.0,4.0,0.0,42.0,0.0,2.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0
21,Kokkos_Core.hpp,0.0,4.0,0.0,47.0,135.0,90.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,13.0,269.0,47.0,96.0,57.0,34.0,90.0,6.0,39.0,34.0,57.0,43.0,0.0,14.0,2.0,2.0,3.0,1.0,1.0,0.94,16.0,16.0,17.0,13.0,0.0
22,Kokkos_ViewFillCopyETIDecl.hpp,0.0,0.0,0.0,7.0,48.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,7.0,4.0,4.0,0.0,42.0,15.0,44.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.50,0.0,0.0,0.0,0.0,0.0
23,Kokkos_Cuda_ViewCopyETIInst_int_int_LayoutRight_Rank8.cpp,0.0,0.0,0.0,2.0,10.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,8.0,4.0,0.0,42.0,0.0,2.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0
