File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,keyword_buggy
src/72_response/m_eig2d.F90,adf3b71,12.0,12.0,3.0,105.0,16.0,66.0,26.0,17.0,1.0,1.0,17.0,2401.0,333.0,1179.0,339.0,733.0,985.0,987.0,249.0,738.0,87.0,87.0,24.0,13.0,0.84,219.0,219.0,54.0,0.0
src/95_drive/gstate.F90,adf3b71,33.0,33.0,0.0,424.0,60.0,268.0,98.0,6.0,0.0,1.0,4.0,2233.0,295.0,1333.0,297.0,963.0,626.0,1035.0,186.0,849.0,162.0,162.0,1.0,4.0,0.47,203.0,203.0,4.0,0.0
src/62_wvl_wfs/wvl_rwwf.F90,adf3b71,2.0,2.0,1.0,239.0,23.0,171.0,45.0,2.0,0.0,2.0,2.0,558.0,51.0,344.0,47.0,4.0,165.0,48.0,44.0,4.0,2.0,2.0,1.0,1.0,0.48,4.0,4.0,2.0,0.0
src/66_wfs/fock_getghc.F90,adf3b71,37.0,37.0,0.0,220.0,19.0,175.0,35.0,4.0,0.0,2.0,2.0,1028.0,88.0,707.0,152.0,553.0,277.0,623.0,75.0,548.0,112.0,112.0,1.0,8.0,0.39,150.0,150.0,2.0,0.0
src/66_wfs/getghc.F90,adf3b71,37.0,37.0,0.0,220.0,19.0,175.0,35.0,4.0,0.0,2.0,2.0,1028.0,88.0,707.0,152.0,553.0,277.0,623.0,75.0,548.0,112.0,112.0,1.0,8.0,0.39,150.0,150.0,2.0,0.0
src/66_wfs/prep_getghc.F90,adf3b71,37.0,37.0,0.0,220.0,19.0,175.0,35.0,4.0,0.0,2.0,2.0,1028.0,88.0,707.0,152.0,553.0,277.0,623.0,75.0,548.0,112.0,112.0,1.0,8.0,0.39,150.0,150.0,2.0,0.0
src/15_gpu_toolbox/m_gpu_detect.F90,adf3b71,3.0,3.0,2.0,59.0,12.0,31.0,19.0,2.0,1.0,1.0,2.0,221.0,41.0,77.0,30.0,15.0,114.0,46.0,27.0,19.0,6.0,6.0,3.0,2.0,1.48,7.0,7.0,4.0,0.0
src/67_common/mklocl_recipspace.F90,adf3b71,3.0,3.0,1.0,53.0,10.0,28.0,15.0,11.0,0.0,1.0,9.0,564.0,94.0,269.0,73.0,195.0,207.0,256.0,67.0,189.0,28.0,28.0,7.0,0.0,0.77,36.0,36.0,15.0,0.0
src/69_wfdesc/m_shirley.F90,adf3b71,14.0,14.0,3.0,187.0,31.0,107.0,52.0,13.0,1.0,1.0,13.0,3174.0,499.0,1494.0,658.0,827.0,1240.0,1254.0,395.0,859.0,60.0,60.0,18.0,8.0,0.83,189.0,189.0,43.0,0.0
src/70_gw/gwls_ComputeCorrelationEnergy.F90,adf3b71,9.0,9.0,1.0,291.0,87.0,149.0,74.0,6.0,1.0,1.0,6.0,1951.0,556.0,932.0,242.0,689.0,582.0,828.0,203.0,625.0,15.0,15.0,1.0,3.0,0.62,54.0,54.0,6.0,0.0
