File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
libmesh/examples/reduced_basis/reduced_basis_ex3/reduced_basis_ex3.C,8a557e2,32.0,81.0,43.0,41.0,93.0,66.0,1.0,1.0,1.0,1.0,150.0,1.0,5.0,3.0,0.0,1.0,194.0,10.0,6.0,2.0,1.0,26.0,140.0,21.0,3.0,5.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.33,1.0,1.0,1.0,1.0,0.0
libmesh/src/reduced_basis/rb_eim_evaluation.C,14dc4a3,5.0,38.0,3.0,59.0,351.0,43.0,5.0,5.0,5.0,1.0,46.0,5.0,38.0,3.0,0.0,9.0,452.0,59.0,347.0,58.0,202.0,43.0,0.0,4.0,204.0,250.0,53.0,0.0,197.0,14.0,14.0,14.0,1.0,3.0,0.12,45.0,45.0,45.0,9.0,1.0
libmesh/src/reduced_basis/rb_eim_evaluation.C,5382f55,6.0,40.0,3.0,70.0,365.0,43.0,6.0,6.0,6.0,1.0,49.0,6.0,40.0,3.0,0.0,9.0,477.0,70.0,361.0,58.0,216.0,43.0,0.0,4.0,208.0,262.0,53.0,0.0,209.0,18.0,18.0,18.0,1.0,3.0,0.12,53.0,53.0,53.0,9.0,0.0
libmesh/examples/adjoints/adjoints_ex1/side_qoi_derivative.C,1820ad6,11.0,23.0,13.0,14.0,31.0,16.0,4.0,4.0,5.0,1.0,46.0,11.0,23.0,13.0,0.0,1.0,60.0,14.0,24.0,13.0,15.0,16.0,0.0,7.0,17.0,22.0,13.0,0.0,9.0,4.0,4.0,5.0,1.0,3.0,0.67,4.0,4.0,5.0,1.0,1.0
libmesh/examples/adjoints/adjoints_ex2/adjoints_ex2.C,1820ad6,23.0,59.0,15.0,119.0,270.0,134.0,2.0,2.0,2.0,1.0,96.0,5.0,20.0,3.0,0.0,4.0,519.0,46.0,79.0,15.0,51.0,87.0,285.0,27.0,47.0,55.0,11.0,0.0,44.0,3.0,3.0,3.0,1.0,1.0,1.1,7.0,7.0,7.0,4.0,1.0
libmesh/examples/adjoints/adjoints_ex2/element_qoi.C,1820ad6,13.0,20.0,7.0,17.0,28.0,11.0,3.0,3.0,4.0,1.0,40.0,13.0,20.0,7.0,0.0,1.0,56.0,17.0,21.0,10.0,12.0,11.0,0.0,7.0,13.0,17.0,10.0,0.0,7.0,3.0,3.0,4.0,1.0,2.0,0.52,3.0,3.0,4.0,1.0,1.0
libmesh/examples/subdomains/subdomains_ex2/subdomains_ex2.C,1820ad6,48.0,121.0,99.0,122.0,269.0,246.0,22.0,22.0,23.0,1.0,267.0,48.0,111.0,99.0,0.0,2.0,636.0,122.0,228.0,67.0,172.0,246.0,6.0,35.0,142.0,173.0,57.0,2.0,114.0,26.0,26.0,28.0,1.0,6.0,1.08,43.0,43.0,46.0,2.0,1.0
libmesh/examples/adjoints/adjoints_ex1/element_qoi_derivative.C,1820ad6,9.0,21.0,13.0,12.0,29.0,16.0,4.0,4.0,5.0,1.0,42.0,9.0,21.0,13.0,0.0,1.0,56.0,12.0,22.0,11.0,13.0,16.0,0.0,7.0,15.0,20.0,11.0,0.0,9.0,4.0,4.0,5.0,1.0,3.0,0.73,4.0,4.0,5.0,1.0,1.0
libmesh/examples/adjoints/adjoints_ex2/element_qoi_derivative.C,1820ad6,9.0,21.0,13.0,12.0,29.0,16.0,4.0,4.0,5.0,1.0,42.0,9.0,21.0,13.0,0.0,1.0,56.0,12.0,22.0,11.0,13.0,16.0,0.0,7.0,15.0,20.0,11.0,0.0,9.0,4.0,4.0,5.0,1.0,3.0,0.73,4.0,4.0,5.0,1.0,1.0
libmesh/examples/adjoints/adjoints_ex1/element_qoi_derivative.C,1820ad6,9.0,21.0,13.0,12.0,29.0,16.0,4.0,4.0,5.0,1.0,42.0,9.0,21.0,13.0,0.0,1.0,56.0,12.0,22.0,11.0,13.0,16.0,0.0,7.0,15.0,20.0,11.0,0.0,9.0,4.0,4.0,5.0,1.0,3.0,0.73,4.0,4.0,5.0,1.0,1.0
libmesh/examples/adjoints/adjoints_ex2/element_qoi_derivative.C,1820ad6,9.0,21.0,13.0,12.0,29.0,16.0,4.0,4.0,5.0,1.0,42.0,9.0,21.0,13.0,0.0,1.0,56.0,12.0,22.0,11.0,13.0,16.0,0.0,7.0,15.0,20.0,11.0,0.0,9.0,4.0,4.0,5.0,1.0,3.0,0.73,4.0,4.0,5.0,1.0,1.0
libmesh/examples/adjoints/adjoints_ex1/side_qoi_derivative.C,5da524d,11.0,23.0,14.0,14.0,31.0,19.0,4.0,4.0,5.0,1.0,46.0,11.0,23.0,14.0,0.0,1.0,62.0,14.0,24.0,13.0,15.0,19.0,0.0,7.0,17.0,22.0,13.0,0.0,9.0,4.0,4.0,5.0,1.0,3.0,0.79,4.0,4.0,5.0,1.0,0.0
libmesh/examples/adjoints/adjoints_ex2/adjoints_ex2.C,5da524d,23.0,59.0,15.0,119.0,269.0,134.0,2.0,2.0,2.0,1.0,95.0,5.0,19.0,3.0,0.0,4.0,518.0,46.0,78.0,14.0,51.0,87.0,285.0,27.0,47.0,55.0,11.0,0.0,44.0,3.0,3.0,3.0,1.0,1.0,1.12,7.0,7.0,7.0,4.0,0.0
libmesh/examples/adjoints/adjoints_ex2/element_qoi.C,5da524d,13.0,20.0,8.0,17.0,28.0,14.0,3.0,3.0,4.0,1.0,40.0,13.0,20.0,8.0,0.0,1.0,58.0,17.0,21.0,10.0,12.0,14.0,0.0,7.0,13.0,17.0,10.0,0.0,7.0,3.0,3.0,4.0,1.0,2.0,0.67,3.0,3.0,4.0,1.0,0.0
libmesh/examples/subdomains/subdomains_ex2/subdomains_ex2.C,5da524d,48.0,123.0,99.0,122.0,273.0,246.0,22.0,22.0,23.0,1.0,269.0,48.0,113.0,99.0,0.0,2.0,640.0,122.0,232.0,67.0,172.0,246.0,6.0,35.0,142.0,173.0,57.0,2.0,114.0,26.0,26.0,28.0,1.0,6.0,1.06,43.0,43.0,46.0,2.0,0.0
libmesh/examples/adjoints/adjoints_ex1/element_qoi_derivative.C,5da524d,9.0,21.0,14.0,12.0,29.0,19.0,4.0,4.0,5.0,1.0,42.0,9.0,21.0,14.0,0.0,1.0,58.0,12.0,22.0,11.0,13.0,19.0,0.0,7.0,15.0,20.0,11.0,0.0,9.0,4.0,4.0,5.0,1.0,3.0,0.86,4.0,4.0,5.0,1.0,0.0
libmesh/examples/adjoints/adjoints_ex2/element_qoi_derivative.C,5da524d,9.0,21.0,14.0,12.0,29.0,19.0,4.0,4.0,5.0,1.0,42.0,9.0,21.0,14.0,0.0,1.0,58.0,12.0,22.0,11.0,13.0,19.0,0.0,7.0,15.0,20.0,11.0,0.0,9.0,4.0,4.0,5.0,1.0,3.0,0.86,4.0,4.0,5.0,1.0,0.0
libmesh/examples/adjoints/adjoints_ex1/element_qoi_derivative.C,5da524d,9.0,21.0,14.0,12.0,29.0,19.0,4.0,4.0,5.0,1.0,42.0,9.0,21.0,14.0,0.0,1.0,58.0,12.0,22.0,11.0,13.0,19.0,0.0,7.0,15.0,20.0,11.0,0.0,9.0,4.0,4.0,5.0,1.0,3.0,0.86,4.0,4.0,5.0,1.0,0.0
