Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
fix_reaxc_species.cpp,5.0,32.0,1.0,174.0,751.0,61.0,8.0,8.0,9.0,2.0,38.0,5.0,32.0,1.0,0.0,23.0,976.0,174.0,730.0,82.0,575.0,61.0,0.0,21.0,576.0,747.0,81.0,0.0,666.0,32.0,32.0,45.0,12.0,6.0,0.08,173.0,173.0,202.0,53.0,0.0
TestQthread.cpp,0.0,4.0,0.0,56.0,181.0,51.0,2.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,22.0,44.0,286.0,56.0,154.0,82.0,96.0,51.0,8.0,19.0,246.0,379.0,195.0,26.0,158.0,49.0,49.0,49.0,25.0,6.0,0.33,106.0,106.0,106.0,73.0,0.0
min_linesearch.cpp,14.0,45.0,12.0,167.0,470.0,293.0,16.0,16.0,16.0,3.0,71.0,14.0,45.0,12.0,0.0,10.0,930.0,167.0,451.0,55.0,342.0,293.0,0.0,19.0,389.0,524.0,55.0,0.0,469.0,45.0,45.0,49.0,9.0,5.0,0.65,156.0,156.0,162.0,31.0,0.0
mgpt_mmul_bgq_n7_lda8_4x8.c.h,89.0,215.0,2.0,93.0,221.0,18.0,1.0,1.0,1.0,1.0,306.0,89.0,215.0,2.0,0.0,1.0,332.0,93.0,215.0,11.0,203.0,18.0,0.0,6.0,207.0,208.0,5.0,0.0,203.0,1.0,1.0,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,0.0
pair_coul_cut_omp.cpp,5.0,27.0,1.0,29.0,116.0,18.0,4.0,4.0,5.0,1.0,31.0,5.0,26.0,1.0,0.0,4.0,162.0,29.0,105.0,25.0,71.0,18.0,1.0,11.0,76.0,93.0,23.0,0.0,70.0,7.0,7.0,8.0,1.0,4.0,0.17,16.0,16.0,18.0,4.0,0.0
pair_lj_cut_coul_debye.cpp,4.0,25.0,0.0,35.0,161.0,26.0,5.0,5.0,5.0,1.0,29.0,4.0,25.0,0.0,0.0,6.0,222.0,35.0,153.0,26.0,116.0,26.0,0.0,8.0,110.0,140.0,24.0,0.0,116.0,13.0,13.0,15.0,1.0,5.0,0.17,29.0,29.0,32.0,6.0,0.0
pair_lj_class2_gpu.cpp,3.0,21.0,0.0,32.0,167.0,28.0,4.0,4.0,4.0,1.0,24.0,3.0,21.0,0.0,0.0,6.0,227.0,32.0,148.0,51.0,93.0,28.0,0.0,19.0,87.0,110.0,33.0,0.0,77.0,8.0,8.0,10.0,1.0,4.0,0.19,22.0,22.0,25.0,6.0,0.0
displace_atoms.cpp,11.0,53.0,5.0,66.0,289.0,47.0,15.0,15.0,17.0,1.0,68.0,11.0,53.0,5.0,0.0,5.0,402.0,66.0,266.0,72.0,215.0,47.0,0.0,23.0,205.0,281.0,72.0,0.0,209.0,55.0,55.0,65.0,1.0,5.0,0.18,76.0,76.0,86.0,5.0,0.0
pair_coul_cut_soft.cpp,2.0,15.0,0.0,74.0,247.0,55.0,4.0,4.0,4.0,1.0,17.0,2.0,15.0,0.0,0.0,16.0,376.0,74.0,235.0,49.0,160.0,55.0,0.0,12.0,170.0,227.0,48.0,0.0,179.0,9.0,9.0,11.0,1.0,4.0,0.23,57.0,57.0,60.0,16.0,0.0
mgpt_mmul3d_744.c.h,184.0,908.0,4.0,187.0,909.0,20.0,1.0,1.0,1.0,1.0,1096.0,184.0,908.0,4.0,0.0,1.0,1116.0,187.0,908.0,11.0,896.0,20.0,0.0,1.0,900.0,901.0,5.0,0.0,896.0,1.0,1.0,1.0,1.0,0.0,0.02,1.0,1.0,1.0,1.0,0.0
fix_indent.cpp,4.0,31.0,1.0,80.0,395.0,49.0,9.0,9.0,10.0,1.0,37.0,4.0,31.0,1.0,0.0,12.0,524.0,80.0,380.0,54.0,312.0,49.0,0.0,15.0,268.0,381.0,54.0,0.0,327.0,37.0,37.0,37.0,12.0,4.0,0.13,111.0,111.0,119.0,23.0,0.0
bond_harmonic_shift_cut.cpp,3.0,13.0,1.0,48.0,136.0,40.0,3.0,3.0,3.0,1.0,15.0,3.0,13.0,1.0,0.0,10.0,221.0,48.0,126.0,34.0,85.0,40.0,0.0,10.0,91.0,121.0,34.0,0.0,87.0,9.0,9.0,12.0,3.0,2.0,0.32,29.0,29.0,32.0,12.0,0.0
mgpt_readpot.cpp,12.0,68.0,6.0,80.0,416.0,76.0,10.0,10.0,12.0,2.0,85.0,12.0,68.0,6.0,0.0,6.0,566.0,80.0,410.0,72.0,330.0,76.0,0.0,6.0,291.0,346.0,73.0,0.0,273.0,33.0,33.0,41.0,3.0,5.0,0.19,60.0,60.0,70.0,12.0,0.0
pair_hbond_dreiding_morse_omp.cpp,8.0,44.0,2.0,53.0,240.0,24.0,7.0,7.0,7.0,2.0,54.0,8.0,44.0,2.0,0.0,5.0,316.0,53.0,223.0,41.0,167.0,24.0,1.0,17.0,175.0,213.0,41.0,0.0,172.0,20.0,20.0,21.0,10.0,6.0,0.11,35.0,35.0,37.0,14.0,0.0
pair_lj_charmm_coul_charmm.cpp,3.0,24.0,0.0,78.0,397.0,57.0,5.0,5.0,5.0,1.0,27.0,3.0,24.0,0.0,0.0,16.0,532.0,78.0,385.0,55.0,295.0,57.0,0.0,12.0,264.0,337.0,52.0,0.0,285.0,17.0,17.0,19.0,6.0,6.0,0.15,75.0,75.0,80.0,21.0,0.0
mgpt_mmul3d_526.c.h,75.0,345.0,3.0,78.0,346.0,19.0,1.0,1.0,1.0,1.0,423.0,75.0,345.0,3.0,0.0,1.0,443.0,78.0,345.0,9.0,335.0,19.0,0.0,1.0,339.0,340.0,5.0,0.0,335.0,1.0,1.0,1.0,1.0,0.0,0.06,1.0,1.0,1.0,1.0,0.0
mgpt_ttr_7042.c.h,18.0,154.0,0.0,22.0,156.0,16.0,1.0,1.0,1.0,1.0,172.0,18.0,154.0,0.0,0.0,1.0,194.0,22.0,154.0,7.0,146.0,16.0,0.0,2.0,149.0,150.0,4.0,0.0,146.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,1.0,1.0,0.0
pair_nm_cut_omp.cpp,5.0,29.0,1.0,29.0,126.0,17.0,4.0,4.0,5.0,1.0,34.0,5.0,28.0,1.0,0.0,4.0,171.0,29.0,115.0,36.0,72.0,17.0,1.0,11.0,81.0,98.0,34.0,0.0,64.0,7.0,7.0,8.0,1.0,4.0,0.15,16.0,16.0,18.0,4.0,0.0
pair_tip4p_long_omp.cpp,10.0,56.0,6.0,74.0,355.0,56.0,9.0,9.0,11.0,1.0,71.0,10.0,55.0,6.0,0.0,6.0,484.0,74.0,334.0,48.0,261.0,56.0,1.0,21.0,246.0,302.0,43.0,0.0,259.0,36.0,36.0,43.0,1.0,7.0,0.17,55.0,55.0,63.0,6.0,0.0
pair_lj96_cut.cpp,4.0,27.0,1.0,120.0,538.0,69.0,5.0,5.0,6.0,1.0,32.0,4.0,27.0,1.0,0.0,19.0,727.0,120.0,521.0,113.0,399.0,69.0,0.0,17.0,404.0,499.0,112.0,0.0,387.0,13.0,13.0,15.0,1.0,5.0,0.13,94.0,94.0,105.0,19.0,0.0
compute_improper_local.cpp,5.0,22.0,1.0,51.0,174.0,31.0,5.0,5.0,6.0,2.0,28.0,5.0,22.0,1.0,0.0,7.0,256.0,51.0,159.0,31.0,119.0,31.0,0.0,15.0,117.0,157.0,31.0,0.0,126.0,22.0,22.0,26.0,12.0,5.0,0.19,38.0,38.0,42.0,18.0,0.0
compute_basal_atom.cpp,4.0,52.0,4.0,47.0,435.0,62.0,9.0,9.0,10.0,3.0,60.0,4.0,52.0,4.0,0.0,8.0,544.0,47.0,419.0,44.0,326.0,62.0,0.0,16.0,372.0,443.0,40.0,12.0,391.0,39.0,39.0,42.0,13.0,7.0,0.15,74.0,74.0,80.0,28.0,0.0
compute_vacf.cpp,4.0,17.0,2.0,33.0,95.0,27.0,3.0,3.0,3.0,1.0,23.0,4.0,17.0,2.0,0.0,5.0,155.0,33.0,87.0,26.0,64.0,27.0,0.0,8.0,66.0,81.0,25.0,0.0,56.0,5.0,5.0,5.0,1.0,3.0,0.31,14.0,14.0,14.0,5.0,0.0
TestHost.cpp,0.0,11.0,0.0,18.0,69.0,50.0,1.0,1.0,1.0,1.0,11.0,0.0,11.0,0.0,0.0,5.0,137.0,18.0,57.0,32.0,15.0,50.0,0.0,12.0,19.0,24.0,9.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,0.88,5.0,5.0,5.0,5.0,0.0
compute_smd_plastic_strain_rate.cpp,1.0,10.0,0.0,21.0,58.0,30.0,3.0,3.0,3.0,1.0,11.0,1.0,10.0,0.0,0.0,5.0,109.0,21.0,49.0,14.0,28.0,30.0,0.0,9.0,27.0,41.0,13.0,0.0,28.0,4.0,4.0,5.0,1.0,2.0,0.61,13.0,13.0,14.0,5.0,0.0
msm.cpp,12.0,56.0,4.0,619.0,2440.0,354.0,11.0,11.0,12.0,2.0,73.0,12.0,56.0,4.0,0.0,43.0,3404.0,619.0,2421.0,473.0,1978.0,354.0,0.0,19.0,1864.0,2311.0,468.0,0.0,1843.0,44.0,44.0,44.0,18.0,8.0,0.15,477.0,477.0,517.0,91.0,0.0
fix_nvt_sphere_omp.cpp,4.0,19.0,2.0,8.0,26.0,15.0,3.0,3.0,3.0,1.0,25.0,4.0,19.0,2.0,0.0,1.0,49.0,8.0,21.0,5.0,15.0,15.0,0.0,5.0,15.0,20.0,5.0,0.0,15.0,3.0,3.0,3.0,1.0,1.0,0.71,3.0,3.0,3.0,1.0,0.0
fix_nve_noforce.cpp,1.0,7.0,0.0,19.0,53.0,19.0,2.0,2.0,2.0,1.0,8.0,1.0,7.0,0.0,0.0,6.0,90.0,19.0,46.0,14.0,23.0,19.0,0.0,7.0,24.0,39.0,14.0,0.0,25.0,4.0,4.0,4.0,1.0,2.0,0.41,13.0,13.0,13.0,6.0,0.0
