hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_fix,keyword_buggy,fastread_fix,fastread_buggy,human_fix,human_buggy
90aadfb1a59286950bf3ae20a931d31a85dc06bb,2018-03-31 17:27:51,2,3,4,1.95006375643621,9,4,278.25,30,12.495028935185184,106,7667.5,1.030791663028765,57,0,0,0,0,0.0,0
42f9507f7b91d8ff2af868df41548ab6a66306dc,2018-03-31 19:58:56,1,3,6,1.6149001030818235,439,467,285.3333333333333,30,44.74030285493828,30,5825.5,1.0086810785230014,2900,0,0,0,0,0.0,0
de17db9829a057b7456434f5b2141d1a98ce659b,2018-03-31 20:11:33,1,2,5,1.4756150391935785,332,368,298.2,30,15.389113425925927,37,5831.0,1.1995059233697891,2905,0,0,0,0,0.0,0
fe5670341bc9cdaeb2322cbcff12bf367ce5e002,2018-03-31 20:33:52,1,4,4,1.6577427265048887,5,4,419.0,30,0.013813657407407406,26,5835.5,45.85311118571375,2909,0,0,0,0,0.0,0
ead235a09169ee0bcfdecff607545f7328355f7f,2018-03-31 21:06:57,1,4,8,2.0546038141971894,350,384,719.0,30,17.50435040509259,69,5841.5,1.04048544915185,2917,0,0,0,0,0.0,0
5585abfa99e4a20960255fc86d3eaeb4f388791d,2018-03-31 21:27:37,1,3,4,1.0932828907025165,107,128,1157.5,30,9.337977430555554,46,5847.5,1.108304290585074,2921,0,0,0,0,0.0,0
f2fc59f5ecaa0f838f33c4628b37e95939b6a0cc,2018-03-31 21:41:37,1,9,14,1.2247435350562441,404,414,1507.7857142857142,30,9.277308201058199,542,5856.5,8.362757940981082,2935,0,0,0,0,0.0,0
3d71df19024afcda90cf9a75411451e96aae295b,2018-03-31 21:52:25,1,13,15,3.763856189774724,6,19,1917.4,30,0.95102237654321,623,5871.0,13.387941061923751,2950,1,0,1,0,1.0,0
47f806db9e5bda2a936712f0842e7664c1270c49,2018-04-01 10:31:33,1,2,5,1.7651263041202363,7,410,213.4,30,42.02599305555556,21,5881.0,1.0090981932054464,2955,0,0,0,0,0.0,0
54b56a737300d2d5b11962f6ed806a0ab2222c2e,2018-04-01 11:12:26,1,2,8,1.9609341367930324,507,490,147.875,29,460.16300057870376,12,5887.5,1.0025302268181306,2963,0,0,0,0,0.0,0
45d681a9a99b7e0f734318650926f9b9c40f6e4a,2018-04-01 12:26:34,1,8,21,1.9843824324239383,2096,2016,1040.3809523809523,30,18.20047123015873,516,5902.0,1.0822579045928142,2984,0,0,0,0,0.0,0
6e0441a8de456434e3c25170667c3747e59f18a5,2018-04-01 13:47:39,1,1,1,0.0,1,0,1458.0,30,9.101435185185183,63,5932.0,1.1098727815617195,94,1,0,1,0,1.0,0
afb5cc7aa941809051aa7c9283c006bae576a0a1,2018-04-01 15:51:52,1,6,10,1.3974459480502122,106,120,2410.9,30,13.596230324074075,149,5937.5,1.0120298737556883,3013,0,0,0,0,0.0,0
