File,index,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,fastread_bugs,keyword_bugs,human_bugs
abinit/src/28_numeric_noabirule/m_splines.F90,500,8.0,8.0,3.0,89.0,11.0,53.0,26.0,9.0,1.0,1.0,9.0,1181.0,136.0,501.0,159.0,341.0,559.0,477.0,130.0,347.0,27.0,27.0,20.0,5.0,1.12,72.0,72.0,31.0,3,2,2
abinit/src/77_ddb/ep_setupqpt.F90,501,8.0,8.0,1.0,185.0,40.0,113.0,37.0,1.0,0.0,1.0,1.0,229.0,43.0,115.0,46.0,68.0,78.0,86.0,27.0,59.0,8.0,8.0,1.0,3.0,0.68,8.0,8.0,1.0,17,17,13
abinit/src/56_xc/xcden.F90,502,9.0,9.0,0.0,61.0,8.0,42.0,10.0,4.0,0.0,1.0,1.0,303.0,37.0,173.0,51.0,121.0,99.0,156.0,27.0,129.0,36.0,36.0,1.0,9.0,0.57,36.0,36.0,1.0,20,20,16
abinit/src/77_ddb/d2c_weights.F90,503,268.0,268.0,1.0,828.0,35.0,779.0,71.0,1.0,0.0,1.0,1.0,870.0,38.0,781.0,23.0,757.0,110.0,773.0,19.0,754.0,268.0,268.0,1.0,10.0,0.14,268.0,268.0,1.0,13,12,8
abinit/src/44_abitypes_defs/m_efield.F90,504,28.0,28.0,1.0,107.0,10.0,86.0,12.0,1.0,1.0,1.0,1.0,362.0,49.0,157.0,101.0,55.0,202.0,128.0,73.0,55.0,28.0,28.0,1.0,1.0,1.29,28.0,28.0,1.0,14,14,9
abinit/scripts/deprecated/ebands.f90,505,10.0,10.0,3.0,130.0,9.0,113.0,10.0,4.0,0.0,1.0,4.0,293.0,23.0,255.0,44.0,210.0,22.0,256.0,44.0,212.0,17.0,17.0,4.0,3.0,0.09,42.0,42.0,12.0,0,0,0
abinit/src/71_bse/exc_build_ham.F90,506,10.0,10.0,4.0,133.0,21.0,84.0,31.0,3.0,0.0,2.0,2.0,496.0,70.0,256.0,125.0,118.0,185.0,210.0,91.0,119.0,23.0,23.0,8.0,6.0,0.72,30.0,30.0,12.0,17,17,13
abinit/src/41_geometry/getspinrot.F90,507,13.0,13.0,1.0,168.0,22.0,94.0,53.0,1.0,0.0,1.0,1.0,221.0,26.0,96.0,17.0,78.0,102.0,99.0,15.0,84.0,13.0,13.0,1.0,4.0,1.06,13.0,13.0,1.0,15,15,10
abinit/src/66_wfs/chebfi.F90,508,9.0,9.0,2.0,144.0,21.0,95.0,29.0,4.0,0.0,3.0,3.0,727.0,94.0,384.0,119.0,261.0,258.0,319.0,79.0,240.0,32.0,32.0,4.0,3.0,0.67,38.0,38.0,9.0,21,21,16
abinit/src/66_nonlocal/nonlop_gpu.F90,509,14.0,14.0,1.0,144.0,18.0,106.0,23.0,1.0,0.0,1.0,1.0,300.0,21.0,108.0,53.0,48.0,176.0,87.0,35.0,52.0,14.0,14.0,1.0,5.0,1.63,14.0,14.0,1.0,13,13,10
