hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_fix,keyword_buggy,fastread_fix,fastread_buggy,human_fix,human_buggy
1aefa8d62472b4a2fae18a57315aba640861fca1,2015-01-05 15:41:00,1,1,2,0.999541500209328,68,51,644.0,5,41.82529513888889,3,57135.5,1.0179631207755035,26418,0,0,0,0,0.0,0
44d9a3bf59f802066c8e1e4801bab6e44d9922f7,2015-01-05 15:43:00,1,1,5,0.566636294240404,57,42,715.4,5,13.729571759259262,18,57139.0,1.0332615375536889,26423,0,1,0,0,0.0,0
1b31895cee102358484a76f0a28a3d815aa8602a,2015-01-05 15:48:00,1,1,2,1.0,2,2,1151.0,5,97.9490335648148,47,57142.5,1.0058876419020026,26425,0,0,0,0,0.0,0
a6c70d8a68b544da3a96eba4391ce1800f111095,2015-01-05 16:50:00,1,1,4,1.3912435636292555,38,14,222.5,4,170.2562210648148,150,57147.5,1.0051266037700786,13683,0,0,0,0,0.0,0
eb8a7d8d9750e070b08f6947a1e4b580ceea9bed,2015-01-05 16:50:00,1,1,2,0.41381685030363374,23,13,187.5,5,194.52900462962964,8,57144.5,1.0028822369366257,26427,0,0,0,0,0.0,0
d194479a749dccdfa783505acb64edebba4bc2d3,2015-01-05 17:08:00,1,1,2,0.3809465857053901,7,47,1995.5,5,289.51921875,36,57150.5,1.0031056241406346,26429,0,0,0,0,0.0,0
626ae3f6936e62e494d18a7b04f5543c2ba7c7ec,2015-01-05 17:14:00,1,1,5,1.3944022785636967,207,304,1187.8,5,60.397574074074065,62,57154.0,46.84235350629475,26434,0,1,0,0,0.0,1
7b8f7ed44d30edd9c99e04fd3e9d9757a79b3dee,2015-01-05 17:15:00,1,1,2,0.14144054254182067,50,0,606.0,5,550.9319386574074,30,57157.5,1.0009841290245394,26436,0,0,0,0,0.0,0
4a0b9a3c5ac064f5dedde9e4b30d7c9a97e31761,2015-01-05 18:36:00,1,1,1,0.0,1,1,790.0,5,0.12028935185185186,7,57159.0,9.313287789858556,26437,0,0,0,0,0.0,0
53fb7a5c59b93494c09b8a95b70dd49383a5d310,2015-01-05 21:30:00,1,1,1,0.0,1,3,2087.0,5,48.885069444444454,117,57160.0,1.0204561435907635,26438,0,0,0,0,0.0,0
7f430f9e62cf514eb0dce3e1483fec720909808f,2015-01-05 22:28:00,1,1,6,2.0711601558409574,43,28,407.66666666666674,5,344.08576774691363,634,57163.5,1.0071851731690862,13689,0,0,0,0,0.0,0
8e4b5a135c7c558fe2d802cf8243be9044f4a372,2015-01-05 22:30:00,1,1,2,0.6603444319226363,631,0,0.0,1,0.0,0,57167.5,0.0,26440,0,1,0,0,0.0,1
f9085bf02834026a6ef9f552fca025a82e958c77,2015-01-05 22:34:00,1,1,2,1.0,6,2,542.0,5,42.219548611111115,146,57169.5,1.017764964596928,13691,0,0,0,0,0.0,0
ddeb3f59c13900ec287f2b1ee1bb7b2db1c2613e,2015-01-05 22:45:00,1,1,1,0.0,1,0,964.0,5,122.33524305555555,3,57171.0,1.0081742593141854,26441,0,0,0,0,0.0,0
2139d30bc41911787693f697b8076ade36210c4f,2015-01-05 22:47:00,1,1,2,1.0,4,4,337.5,4,13.965034722222226,638,57173.5,1.0537055592712952,13693,0,0,0,0,0.0,0
a34caad41a824ca175901aa9fe3c2a3665efacb7,2015-01-05 22:47:00,1,1,1,0.0,1,1,1.0,4,13.965023148148148,827,57172.0,1.0716074717092472,26442,0,0,0,0,0.0,0
3c864bd3179f8ef0610adf0d98ad8b17c3dd37a3,2015-01-06 00:39:00,1,1,2,0.998382987343889,338,0,0.0,1,0.0,0,57175.5,0.0,13695,0,0,0,0,0.0,0
f07876276959b16903cad9fdcc31925195697187,2015-01-06 21:07:00,1,1,4,1.8750475697549327,156,122,197.75,4,107.49988425925928,54,57180.5,1.0031384068889468,13699,0,0,0,0,0.0,0
f22314495c7de74b867e7db8dfce20cde664d594,2015-01-06 21:07:00,1,1,2,0.1831220683013728,173,7,326.5,5,87.53670717592594,58,57177.5,1.0079627792630843,26444,0,1,0,0,0.0,0
6df99b233b3e6711684662c6c3b7640d2435db7e,2015-01-06 21:10:00,1,1,1,0.0,1,1,1.0,4,0.9327314814814814,828,57183.0,2.0721199185983026,26445,0,0,0,0,0.0,0
22bfbbda3af1e7d41b3d97d364b7b2f2b305daa5,2015-01-06 21:10:00,1,1,2,1.0,4,4,337.5,4,0.9327199074074074,640,57184.5,1.80409991686004,13701,0,0,0,0,0.0,0
9beaf33d866b6f1b25ec347e34dc44f48c852474,2015-01-06 21:58:00,1,1,1,0.0,3,0,719.0,5,0.03568287037037037,45,57186.0,29.02465131365553,26446,0,0,0,0,0.0,0
0bcecca86d97c2e17336314408c1cc7bbe4dfc3b,2015-01-06 22:01:00,1,1,2,1.0,8,0,145.0,4,0.03709490740740741,26,57187.5,21.218408736349453,13703,0,0,0,0,0.0,0
e38e5e1d81b22963781d238b8c6b436ca8a5079b,2015-01-07 17:31:00,1,1,12,3.584962500721156,12,12,69.83333333333333,4,616.2279301697531,72,57194.5,1.0028757164651223,13715,0,0,0,0,0.0,0
d1fd7c56360ba3db2498a684995cb8c767a75768,2015-01-08 17:37:00,1,1,1,0.0,85,78,2023.0,5,48.9712962962963,15,57201.0,1.0204201251678042,26447,0,0,0,0,0.0,0
fa76884b090af7cedf13c2960867d9978855f90d,2015-01-08 18:16:00,1,10,10,2.781929605529226,110,55,16.7,5,437.3956631944445,21,57206.5,0.6002335814500593,26457,0,0,0,0,0.0,0
7dd802cb67fd1c06a619a2fa69f9812fd5f81359,2015-01-08 19:17:00,1,1,2,0.9774178175281716,9,25,40.0,4,650.1403067129629,4,57214.5,1.0012360794417443,26459,0,0,0,0,0.0,0
f1b850e1e1b95f44c4e2e2c0bb7aa7afdf02f9a2,2015-01-08 19:17:00,1,1,2,1.0,46,24,1816.0,4,93.07472222222222,302,57212.5,1.00805804177647,13717,0,0,0,0,0.0,0
a31233cd10c40fedc7f50dfd98cb29329704ac3d,2015-01-08 22:46:00,1,2,4,1.280511015263419,196,3,8.25,3,55.99901331018518,14,57217.5,1.0044643643739797,3706,0,1,0,1,0.0,1
984771195678eb031f21b8558ac959079678e277,2015-01-08 22:47:00,1,1,2,1.0,2,2,31.0,3,0.0010995370370370367,2,57220.5,683.1052631578948,3708,0,0,0,0,0.0,0
