File,index,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
test_atomgroup.py,212,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,17.0,173.0,172.0,1290.0,241.0,957.0,247.0,710.0,103.0,1.0,0.0,776.0,203.0,573.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,0.11,195.0,195.0,195.0,176.0,27,26.0,23
test_atomselections.py,213,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,15.0,117.0,117.0,1024.0,236.0,703.0,177.0,526.0,97.0,0.0,0.0,559.0,148.0,411.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,3.0,0.14,140.0,140.0,140.0,117.0,28,27.0,24
test_fragments.py,214,2.0,2.0,2.0,1.0,7.0,0.0,6.0,1.0,1.0,11.0,11.0,170.0,26.0,89.0,31.0,58.0,57.0,0.0,0.0,78.0,20.0,58.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,3.0,0.64,23.0,23.0,23.0,11.0,10,11.0,10
test_group_traj_access.py,215,1.0,1.0,1.0,1.0,8.0,0.0,6.0,0.0,7.0,40.0,40.0,462.0,94.0,312.0,85.0,227.0,56.0,0.0,0.0,243.0,55.0,188.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.18,50.0,50.0,50.0,40.0,20,15.0,17
test_groups.py,216,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,13.0,123.0,123.0,1027.0,197.0,727.0,191.0,536.0,103.0,0.0,0.0,626.0,150.0,476.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,4.0,3.0,0.14,162.0,162.0,162.0,126.0,28,24.0,24
test_index_dtype.py,217,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,17.0,17.0,92.0,22.0,44.0,24.0,20.0,26.0,0.0,0.0,39.0,22.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.59,17.0,17.0,17.0,17.0,10,8.0,8
test_requires.py,218,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,8.0,8.0,66.0,17.0,44.0,22.0,22.0,5.0,0.0,0.0,37.0,15.0,22.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.11,9.0,9.0,9.0,8.0,11,12.0,10
test_residue.py,219,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,59.0,9.0,28.0,16.0,12.0,22.0,0.0,0.0,21.0,10.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.79,4.0,4.0,4.0,4.0,21,16.0,19
test_residuegroup.py,220,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,29.0,29.0,267.0,45.0,177.0,50.0,127.0,46.0,0.0,0.0,133.0,38.0,95.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,0.26,36.0,36.0,36.0,29.0,22,21.0,20
test_segment.py,221,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,7.0,7.0,84.0,15.0,44.0,19.0,23.0,25.0,0.0,0.0,34.0,14.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.57,7.0,7.0,7.0,7.0,21,17.0,18
