File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
contrib/metis/GKlib/string.c,9654cd8,4.0,21.0,1.0,77.0,255.0,199.0,5.0,5.0,5.0,3.0,26.0,4.0,21.0,1.0,0.0,12.0,529.0,77.0,252.0,36.0,165.0,199.0,0.0,3.0,154.0,214.0,35.0,2.0,177.0,21.0,20.0,22.0,11.0,6.0,0.79,62.0,61.0,64.0,42.0,1.0
contrib/metis/GKlib/string.c,4716a07,4.0,21.0,1.0,77.0,255.0,199.0,5.0,5.0,5.0,3.0,26.0,4.0,21.0,1.0,0.0,12.0,529.0,77.0,252.0,36.0,165.0,199.0,0.0,3.0,154.0,214.0,35.0,2.0,177.0,21.0,20.0,22.0,11.0,6.0,0.79,62.0,61.0,64.0,42.0,0.0
src/solvers/petsc_dm_nonlinear_solver.C,e2ebea3,0.0,0.0,0.0,44.0,101.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,6.0,0.0,0.0,0.0,15.0,152.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/solvers/petsc_linear_solver.C,e2ebea3,0.0,0.0,0.0,373.0,1237.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902.0,5.0,0.0,0.0,0.0,14.0,1881.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/reduced_basis/rb_construction_base.C,e2ebea3,4.0,30.0,5.0,143.0,772.0,143.0,4.0,4.0,4.0,1.0,39.0,4.0,28.0,4.0,0.0,24.0,1047.0,131.0,693.0,200.0,366.0,119.0,92.0,29.0,293.0,389.0,126.0,17.0,246.0,21.0,21.0,22.0,1.0,5.0,0.17,91.0,91.0,94.0,24.0,1.0
src/solvers/petsc_dm_nonlinear_solver.C,52f950a,0.0,0.0,0.0,44.0,97.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,6.0,0.0,0.0,0.0,15.0,148.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/solvers/petsc_linear_solver.C,52f950a,0.0,0.0,0.0,373.0,1237.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902.0,5.0,0.0,0.0,0.0,14.0,1881.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/reduced_basis/rb_construction_base.C,52f950a,4.0,30.0,5.0,143.0,772.0,143.0,4.0,4.0,4.0,1.0,39.0,4.0,28.0,4.0,0.0,24.0,1047.0,131.0,693.0,200.0,366.0,119.0,92.0,29.0,293.0,389.0,126.0,17.0,246.0,21.0,21.0,22.0,1.0,5.0,0.17,91.0,91.0,94.0,24.0,0.0
src/mesh/serial_mesh.C,3a43edf,4.0,19.0,6.0,244.0,644.0,211.0,3.0,3.0,3.0,1.0,28.0,4.0,19.0,6.0,1.0,35.0,1076.0,244.0,635.0,148.0,379.0,211.0,0.0,9.0,335.0,446.0,119.0,17.0,310.0,37.0,37.0,39.0,5.0,7.0,0.33,111.0,111.0,118.0,42.0,1.0
src/mesh/serial_mesh.C,74ceb54,4.0,19.0,6.0,244.0,644.0,211.0,3.0,3.0,3.0,1.0,28.0,4.0,19.0,6.0,1.0,35.0,1076.0,244.0,635.0,148.0,379.0,211.0,0.0,9.0,335.0,446.0,119.0,17.0,310.0,37.0,37.0,39.0,5.0,7.0,0.33,111.0,111.0,118.0,42.0,0.0
src/parallel/parallel_histogram.C,acdb8bd,2.0,8.0,2.0,33.0,55.0,31.0,2.0,2.0,2.0,1.0,11.0,2.0,8.0,2.0,0.0,2.0,117.0,33.0,45.0,30.0,14.0,31.0,2.0,9.0,21.0,37.0,31.0,0.0,6.0,2.0,2.0,2.0,1.0,1.0,0.69,3.0,3.0,3.0,2.0,1.0
src/reduced_basis/rb_evaluation.C,acdb8bd,7.0,35.0,6.0,191.0,794.0,153.0,6.0,6.0,6.0,1.0,49.0,7.0,35.0,6.0,0.0,22.0,1132.0,191.0,778.0,190.0,449.0,153.0,1.0,15.0,468.0,587.0,164.0,1.0,422.0,26.0,26.0,26.0,1.0,4.0,0.2,131.0,131.0,131.0,22.0,1.0
src/parallel/parallel_bin_sorter.C,acdb8bd,2.0,7.0,4.0,37.0,71.0,44.0,1.0,1.0,1.0,1.0,13.0,2.0,7.0,4.0,0.0,1.0,150.0,37.0,59.0,36.0,15.0,44.0,2.0,11.0,31.0,67.0,66.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0
src/parallel/parallel_sort.C,acdb8bd,3.0,14.0,8.0,78.0,205.0,116.0,1.0,1.0,1.0,1.0,23.0,1.0,8.0,2.0,0.0,5.0,376.0,47.0,74.0,35.0,17.0,40.0,202.0,18.0,26.0,64.0,49.0,0.0,15.0,2.0,2.0,2.0,1.0,1.0,0.54,7.0,7.0,7.0,5.0,1.0
src/numerics/sparse_matrix.C,acdb8bd,4.0,28.0,1.0,73.0,247.0,34.0,5.0,5.0,5.0,1.0,33.0,4.0,24.0,1.0,0.0,8.0,353.0,73.0,210.0,60.0,103.0,34.0,20.0,17.0,104.0,148.0,43.0,2.0,103.0,22.0,22.0,26.0,4.0,6.0,0.16,38.0,39.0,42.0,11.0,1.0
