File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
ReferenceSETTLEAlgorithm.cpp,244,41,31,171,155,133,35,133,0.24,5,1,1,1,1,41,34,2,5,0
ReferenceSETTLEAlgorithm.h,94,64,9,18,0,15,0,13,3.56,0,0,0,0,0,0,0,0,0,0
ReferenceStochasticDynamics.cpp,252,103,60,81,48,39,41,31,1.27,6,3,3,3,1,24,13,4,7,0
ReferenceStochasticDynamics.h,125,82,23,16,0,13,0,10,5.12,0,0,0,0,0,0,0,0,0,0
ReferenceVariableStochasticDynamics.cpp,296,121,67,102,61,43,55,34,1.19,8,3,3,3,1,21,13,3,6,0
ReferenceVariableStochasticDynamics.h,147,97,27,20,0,17,0,12,4.85,0,0,0,0,0,0,0,0,0,0
ReferenceVariableVerletDynamics.cpp,174,72,30,68,45,26,42,25,1.06,5,4,4,4,1,18,13,2,3,0
ReferenceVariableVerletDynamics.h,100,63,21,13,0,10,0,9,4.85,0,0,0,0,0,0,0,0,0,1
ReferenceVerletDynamics.cpp,149,60,32,49,31,21,28,19,1.22,3,4,4,4,1,26,16,4,7,0
ReferenceVerletDynamics.h,82,52,17,10,0,7,0,6,5.2,0,0,0,0,0,0,0,0,0,0
ReferenceVirtualSites.cpp,114,36,11,65,45,34,25,32,0.55,2,6,6,6,1,38,32,3,4,0
ReferenceVirtualSites.h,51,37,4,5,0,3,0,3,7.4,0,0,0,0,0,0,0,0,0,0
RPMDIntegrator.cpp,197,44,25,120,80,39,74,39,0.37,11,3,3,3,1,13,11,1,1,0
RPMDIntegrator.h,239,171,7,54,11,30,10,29,3.17,10,1,1,1,1,3,3,0,0,0
RpmdKernels.h,91,62,6,16,7,11,1,10,3.88,2,1,1,1,1,3,3,0,0,0
sched.h,178,69,29,19,0,18,0,14,3.63,0,0,0,0,0,0,0,0,0,0
semaphore.h,166,57,31,24,0,24,0,25,2.38,0,0,0,0,0,0,0,0,0,0
SerializationNode.cpp,149,30,21,95,51,32,49,36,0.32,18,2,2,2,1,5,5,0,0,0
SerializationNode.h,229,174,7,41,8,30,6,27,4.24,2,2,2,2,1,6,6,0,0,0
SerializationProxy.cpp,73,30,9,31,13,11,13,13,0.97,7,1,1,1,1,4,4,0,0,0
SerializationProxy.h,114,82,8,19,0,15,0,14,4.32,1,1,1,1,1,2,2,0,0,0
SerializationProxyRegistration.cpp,133,30,8,36,30,3,31,6,0.83,2,2,2,2,1,17,17,0,0,0
SFMT-alti.h,156,42,11,86,59,21,65,14,0.49,4,3,3,3,1,23,20,0,1,0
SFMT-params.h,97,48,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params11213.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params1279.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params132049.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params19937.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params216091.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params2281.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params4253.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params44497.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params607.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-params86243.h,46,5,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
SFMT-sse2.h,123,35,9,76,55,13,61,11,0.46,3,3,3,3,1,26,25,0,1,0
SFMT.cpp,694,202,50,295,188,74,189,73,0.68,23,2,2,2,1,13,12,0,1,0
SFMT.h,185,52,24,69,13,30,13,31,0.75,12,1,1,1,1,4,4,0,0,0
SHA1.cpp,256,19,48,154,105,25,250,25,0.12,10,3,3,3,1,19,15,1,3,0
SHA1.h,284,141,32,35,3,29,0,23,4.03,0,0,0,0,0,0,0,0,0,0
SimTKOpenMMCommon.cpp,38,24,7,6,6,6,0,6,4.0,0,0,0,0,0,0,0,0,0,0
SimTKOpenMMCommon.h,65,29,16,15,0,13,0,13,1.93,0,0,0,0,0,0,0,0,0,0
SimTKOpenMMLog.cpp,304,153,85,63,32,16,27,16,2.43,12,1,1,1,1,14,5,4,5,0
SimTKOpenMMLog.h,185,116,42,21,2,17,0,17,5.52,0,0,0,0,0,0,0,0,0,0
