function,cyclomatic,modified,strict,essential,nesting,path_count,path_c_log,bug
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
rv_alloc,2,2,2,1,1,2,0,0
OpenCLCMAPTorsionForceInfo::areGroupsIdentical,1,1,1,1,0,1,0,0
OpenCLCMAPTorsionForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCMAPTorsionForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCMAPTorsionForceInfo::OpenCLCMAPTorsionForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomAngleForceInfo::areGroupsIdentical,3,3,3,3,2,3,0,0
OpenCLCustomAngleForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomAngleForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomAngleForceInfo::OpenCLCustomAngleForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomBondForceInfo::areGroupsIdentical,3,3,3,3,2,3,0,0
OpenCLCustomBondForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomBondForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomBondForceInfo::OpenCLCustomBondForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomCentroidBondForceInfo::areGroupsIdentical,7,7,7,7,3,11,1,0
OpenCLCustomCentroidBondForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomCentroidBondForceInfo::getParticlesInGroup,2,2,2,1,1,2,0,0
OpenCLCustomCentroidBondForceInfo::OpenCLCustomCentroidBondForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomCompoundBondForceInfo::areGroupsIdentical,3,3,3,3,2,3,0,0
OpenCLCustomCompoundBondForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLCustomCompoundBondForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLCustomCompoundBondForceInfo::OpenCLCustomCompoundBondForceInfo,1,1,1,1,0,1,0,0
OpenCLCustomExternalForceInfo::areParticlesIdentical,5,5,7,5,2,5,1,0
OpenCLCustomExternalForceInfo::OpenCLCustomExternalForceInfo,2,2,2,1,1,2,0,0
OpenCLCustomGBForceInfo::areGroupsIdentical,1,1,1,1,0,1,0,0
OpenCLCustomGBForceInfo::areParticlesIdentical,3,3,3,3,2,3,0,0
OpenCLCustomGBForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
