File,Hash,age,entrophy,exp,fix,la,ld,lt,nd,ndev,ns,nuc,rexp,sexp,Bugs
scripts/post_processing/ElectronPhononCoupling/ElectronPhononCoupling/config/release.py,ca392e0ebf61a2d4152b2b9850a9c3942eeaeabd,74.36581018518518,0.0,435.0,1,1,1,48,2,2,1,3,2.150840257792776,0,1
src/14_hidewrite/m_fstrings.F90,8b926f96455167c39daed129169aed3b98791fea,4.349353505291005,0.49719832161685557,1505.0,0,122,3,1949,6,16,1,5,1.049465268088602,0,0
src/28_numeric_noabirule/m_numeric_tools.F90,8b926f96455167c39daed129169aed3b98791fea,4.349353505291005,0.46777848381695614,1505.0,0,104,0,5632,6,16,1,11,1.049465268088602,0,0
src/32_util/inupper.F90,8b926f96455167c39daed129169aed3b98791fea,4.349353505291005,0.2132596689747124,1505.0,0,15,10,105,6,16,1,2,1.049465268088602,0,0
src/77_ddb/m_anaddb_dataset.F90,8b926f96455167c39daed129169aed3b98791fea,4.349353505291005,0.4118091196169111,1505.0,0,52,25,2043,6,16,1,4,1.049465268088602,0,0
src/77_ddb/m_gruneisen.F90,8b926f96455167c39daed129169aed3b98791fea,4.349353505291005,0.5222068625404238,1505.0,0,128,27,526,6,16,1,2,1.049465268088602,0,0
src/95_drive/eph.F90,8b926f96455167c39daed129169aed3b98791fea,4.349353505291005,0.08491958745805642,1505.0,0,4,3,521,6,16,1,68,1.049465268088602,0,0
src/98_main/anaddb.F90,8b926f96455167c39daed129169aed3b98791fea,4.349353505291005,0.1635630198536173,1505.0,0,2,15,1031,6,16,1,19,1.049465268088602,0,0
src/14_hidewrite/m_fstrings.F90,e62a6f85576261c7967c99be38c286fa16c4e179,0.560462962962963,0.5,1509.5,1,2,0,2068,2,16,1,6,9.375575223557547,0,1
src/41_geometry/m_crystal.F90,e62a6f85576261c7967c99be38c286fa16c4e179,0.560462962962963,0.5,1509.5,1,1,1,897,2,16,1,11,9.375575223557547,0,1
src/65_paw/paw_dfptnl_energy.F90,679afe8c41516e71947e947ec54f758a1d0acbd6,10.940023148148148,0.4486131067443842,157.5,1,4,31,647,3,16,1,1,1.0549176511273681,0,1
src/72_response/dfptnl_pert.F90,679afe8c41516e71947e947ec54f758a1d0acbd6,10.940023148148148,0.4775228661206507,157.5,1,70,34,694,3,16,1,14,1.0549176511273681,0,1
src/72_response/m_rf2.F90,679afe8c41516e71947e947ec54f758a1d0acbd6,10.940023148148148,0.4587177597332543,157.5,1,20,17,642,3,16,1,11,1.0549176511273681,0,1
src/95_drive/dfptnl_loop.F90,679afe8c41516e71947e947ec54f758a1d0acbd6,10.940023148148148,0.28826216485030604,157.5,1,10,5,740,3,16,1,14,1.0549176511273681,0,1
src/66_nonlocal/ctocprj.F90,8211f4e0d0b980802b3f27c27ddee4ece36b0a01,55.38961226851851,0.5250200855103673,532.5,0,16,13,599,5,16,1,9,1.0058387099340698,0,0
src/67_common/extrapwf.F90,8211f4e0d0b980802b3f27c27ddee4ece36b0a01,55.38961226851851,0.3063966918310446,532.5,0,4,4,657,5,16,1,3,1.0058387099340698,0,0
src/67_common/update_e_field_vars.F90,8211f4e0d0b980802b3f27c27ddee4ece36b0a01,55.38961226851851,0.32807318034274247,532.5,0,3,6,595,5,16,1,3,1.0058387099340698,0,0
src/79_seqpar_mpi/vtorho.F90,8211f4e0d0b980802b3f27c27ddee4ece36b0a01,55.38961226851851,0.2568651818697298,532.5,0,3,3,2259,5,16,1,19,1.0058387099340698,0,0
src/94_scfcv/scfcv.F90,8211f4e0d0b980802b3f27c27ddee4ece36b0a01,55.38961226851851,0.47861605677601105,532.5,0,10,10,2098,5,16,1,17,1.0058387099340698,0,0
src/95_drive/dfpt_looppert.F90,8211f4e0d0b980802b3f27c27ddee4ece36b0a01,55.38961226851851,0.47861605677601105,532.5,0,10,10,2127,5,16,1,16,1.0058387099340698,0,0
src/45_geomoptim/predict_pimd.F90,c684d1f46ddade155356c228d8453883318afdb7,19.042604166666667,0.0,536.0,0,2,2,329,1,13,1,3,1.0525138259057267,0,1
src/98_main/anaddb.F90,e6af03481ccd9376f46295852fd6f0e8fe5be2f1,0.04699074074074074,0.0,1563.0,1,1,1,1013,1,16,1,29,22.2807881773399,0,1
src/32_util/isfile.F90,70c540373cc21e5b7bd07d8e84eb91e1888ca4cb,14.205300925925926,0.0,1577.0,1,10,10,155,1,16,1,2,1.0703962559620903,0,1
src/30_diago/m_lobpcg2.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.13037418459857494,350.6363636363636,1,21,18,1159,9,16,2,4,1.2901845228646545,0,1
src/44_abitypes_defs/defs_abitypes.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.07580491729876268,350.6363636363636,1,11,8,1808,9,16,2,20,1.2901845228646545,0,1
src/56_recipspace/m_bz_mesh.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.5253472941139895,350.6363636363636,1,200,308,3471,9,16,2,14,1.2901845228646545,0,1
src/66_wfs/fxphas_seq.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.4277093964923744,350.6363636363636,1,0,263,263,9,16,2,3,1.2901845228646545,0,1
src/72_response/dfpt_phfrq.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.0066380663506576815,350.6363636363636,1,0,1,345,9,16,2,5,1.2901845228646545,0,1
src/77_ddb/m_ifc.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.0066380663506576815,350.6363636363636,1,1,0,2531,9,16,2,61,1.2901845228646545,0,1
src/78_effpot/ddb_to_effective_potential.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.5240627482155313,350.6363636363636,1,0,499,0,9,16,2,22,1.2901845228646545,0,1
src/78_effpot/m_effective_potential.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.030158962315712332,350.6363636363636,1,3,3,4073,9,16,2,49,1.2901845228646545,0,1
src/78_effpot/m_effpot_xml.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.37058523824101214,350.6363636363636,1,0,196,196,9,16,2,3,1.2901845228646545,0,1
src/78_effpot/m_multibinit_dataset.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.12791906153019372,350.6363636363636,1,36,2,121,9,16,2,10,1.2901845228646545,0,1
src/79_seqpar_mpi/m_lobpcgwf.F90,865d7047fa521b6af0e37ddbc79856206f6260c9,26.506896043771043,0.11785526801555846,350.6363636363636,1,19,15,397,9,16,2,12,1.2901845228646545,0,1
src/01_triqs_ext/triqs_cthyb_qmc.cpp,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.014074210150171004,334.61538461538464,1,1,1,477,11,16,1,4,1.1689183621962569,0,1
src/10_defs/defs_basis.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.08025579130176803,334.61538461538464,1,9,8,572,11,16,1,7,1.1689183621962569,0,1
src/12_hide_mpi/m_xmpi.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.04868328925192794,334.61538461538464,1,7,2,4875,11,16,1,9,1.1689183621962569,0,1
src/14_hidewrite/m_fstrings.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.2871134434227905,334.61538461538464,1,96,8,2070,11,16,1,10,1.1689183621962569,0,1
src/16_hideleave/leave_new.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.03508851566857232,334.61538461538464,1,3,3,94,11,16,1,3,1.1689183621962569,0,1
src/16_hideleave/m_errors.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.37191079213595346,334.61538461538464,1,82,82,1755,11,16,1,10,1.1689183621962569,0,1
src/17_libtetra_ext/m_kptrank.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.24939984666210804,334.61538461538464,1,68,15,463,11,16,1,6,1.1689183621962569,0,1
src/27_toolbox_oop/m_geometry.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.3049674918429323,334.61538461538464,1,57,58,681,11,16,1,5,1.1689183621962569,0,1
src/27_toolbox_oop/m_nctk.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.4227644844379953,334.61538461538464,1,110,103,2769,11,16,1,10,1.1689183621962569,0,1
src/28_numeric_noabirule/m_cplxtools.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.25698726820997847,334.61538461538464,1,37,50,1290,11,16,1,4,1.1689183621962569,0,1
src/28_numeric_noabirule/m_numeric_tools.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.5304003744917857,334.61538461538464,1,238,235,5737,11,16,1,13,1.1689183621962569,0,1
src/32_util/littlegroup_q.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.08386320265989489,334.61538461538464,1,9,9,173,11,16,1,6,1.1689183621962569,0,1
src/41_geometry/littlegroup_pert.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.1571658161868184,334.61538461538464,1,25,17,213,11,16,1,3,1.1689183621962569,0,1
src/01_triqs_ext/triqs_cthyb_qmc.cpp,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.014074210150171004,334.61538461538464,1,1,1,477,11,16,1,4,1.1689183621962569,0,0
src/10_defs/defs_basis.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.08025579130176803,334.61538461538464,1,9,8,572,11,16,1,7,1.1689183621962569,0,0
src/12_hide_mpi/m_xmpi.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.04868328925192794,334.61538461538464,1,7,2,4875,11,16,1,9,1.1689183621962569,0,0
src/14_hidewrite/m_fstrings.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.2871134434227905,334.61538461538464,1,96,8,2070,11,16,1,10,1.1689183621962569,0,0
src/16_hideleave/leave_new.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.03508851566857232,334.61538461538464,1,3,3,94,11,16,1,3,1.1689183621962569,0,0
src/16_hideleave/m_errors.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.37191079213595346,334.61538461538464,1,82,82,1755,11,16,1,10,1.1689183621962569,0,0
src/17_libtetra_ext/m_kptrank.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.24939984666210804,334.61538461538464,1,68,15,463,11,16,1,6,1.1689183621962569,0,0
src/27_toolbox_oop/m_geometry.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.3049674918429323,334.61538461538464,1,57,58,681,11,16,1,5,1.1689183621962569,0,0
src/27_toolbox_oop/m_nctk.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.4227644844379953,334.61538461538464,1,110,103,2769,11,16,1,10,1.1689183621962569,0,0
src/28_numeric_noabirule/m_cplxtools.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.25698726820997847,334.61538461538464,1,37,50,1290,11,16,1,4,1.1689183621962569,0,0
src/28_numeric_noabirule/m_numeric_tools.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.5304003744917857,334.61538461538464,1,238,235,5737,11,16,1,13,1.1689183621962569,0,0
src/32_util/littlegroup_q.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.08386320265989489,334.61538461538464,1,9,9,173,11,16,1,6,1.1689183621962569,0,0
src/41_geometry/littlegroup_pert.F90,f0782a21085c51f654a8485ee7385fc6897d98d7,18.881663105413107,0.1571658161868184,334.61538461538464,1,25,17,213,11,16,1,3,1.1689183621962569,0,0
src/28_numeric_noabirule/m_numeric_tools.F90,cb6dc6f8a7915c9b732706cab8d6acbb98c5e2a9,13.069216820987654,0.017991971751140725,302.0,1,1,1,5740,6,16,1,14,21.19621122265987,0,1
src/41_geometry/m_crystal.F90,cb6dc6f8a7915c9b732706cab8d6acbb98c5e2a9,13.069216820987654,0.4819618085959232,302.0,1,146,75,897,6,16,1,12,21.19621122265987,0,1
src/41_geometry/m_dynmat.F90,cb6dc6f8a7915c9b732706cab8d6acbb98c5e2a9,13.069216820987654,0.49728101638389055,302.0,1,339,165,5406,6,16,1,21,21.19621122265987,0,1
src/41_geometry/symkpt.F90,cb6dc6f8a7915c9b732706cab8d6acbb98c5e2a9,13.069216820987654,0.055903629976450445,302.0,1,6,2,377,6,16,1,6,21.19621122265987,0,1
src/42_libpaw/m_pawcprj.F90,cb6dc6f8a7915c9b732706cab8d6acbb98c5e2a9,13.069216820987654,0.04442794838160798,302.0,1,3,3,3039,6,16,1,9,21.19621122265987,0,1
src/51_manage_mpi/get_npert_rbz.F90,cb6dc6f8a7915c9b732706cab8d6acbb98c5e2a9,13.069216820987654,0.055903629976450445,302.0,1,4,4,335,6,16,1,3,21.19621122265987,0,1
src/52_fft_mpi_noabirule/m_fft_mesh.F90,cb6dc6f8a7915c9b732706cab8d6acbb98c5e2a9,13.069216820987654,0.4915853128446025,302.0,1,117,118,1691,6,16,1,3,21.19621122265987,0,1
src/52_fft_mpi_noabirule/sphereboundary.F90,cb6dc6f8a7915c9b732706cab8d6acbb98c5e2a9,13.069216820987654,0.06135611684300394,302.0,1,6,3,288,6,16,1,4,21.19621122265987,0,1
src/54_abiutil/m_dtset.F90,cb6dc6f8a7915c9b732706cab8d6acbb98c5e2a9,13.069216820987654,0.02522602238357507,302.0,1,3,0,1421,6,16,1,22,21.19621122265987,0,1
src/27_toolbox_oop/m_geometry.F90,da9f93cf07ef0b832f97332456ca1e1352a4be23,33.949988425925916,0.11372437616322445,1583.5,0,4,4,680,7,16,1,6,1.8245241841952804,0,0
src/41_geometry/m_dynmat.F90,da9f93cf07ef0b832f97332456ca1e1352a4be23,33.949988425925916,0.1528604278593471,1583.5,0,2,10,5580,7,16,1,22,1.8245241841952804,0,0
src/54_abiutil/m_dtset.F90,da9f93cf07ef0b832f97332456ca1e1352a4be23,33.949988425925916,0.0915817290811887,1583.5,0,2,4,1424,7,16,1,23,1.8245241841952804,0,0
