File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
contrib/netcdf/4.2.1.1/oc/ocutil.c,0ebe32f,0.0,11.0,0.0,68.0,536.0,61.0,3.0,3.0,4.0,1.0,11.0,0.0,10.0,0.0,0.0,41.0,653.0,68.0,458.0,166.0,242.0,54.0,66.0,15.0,223.0,351.0,97.0,5.0,249.0,23.0,7.0,23.0,4.0,3.0,0.12,138.0,115.0,155.0,60.0,1.0
contrib/netcdf/4.3.0/libcdmr/ast_util.c,0ebe32f,0.0,11.0,0.0,68.0,536.0,61.0,3.0,3.0,4.0,1.0,11.0,0.0,10.0,0.0,0.0,41.0,653.0,68.0,458.0,166.0,242.0,54.0,66.0,15.0,223.0,351.0,97.0,5.0,249.0,23.0,7.0,23.0,4.0,3.0,0.12,138.0,115.0,155.0,60.0,1.0
contrib/netcdf/4.3.0/libcdmr/crutil.c,0ebe32f,0.0,11.0,0.0,68.0,536.0,61.0,3.0,3.0,4.0,1.0,11.0,0.0,10.0,0.0,0.0,41.0,653.0,68.0,458.0,166.0,242.0,54.0,66.0,15.0,223.0,351.0,97.0,5.0,249.0,23.0,7.0,23.0,4.0,3.0,0.12,138.0,115.0,155.0,60.0,1.0
contrib/netcdf/4.3.0/libdap2/daputil.c,0ebe32f,0.0,11.0,0.0,68.0,536.0,61.0,3.0,3.0,4.0,1.0,11.0,0.0,10.0,0.0,0.0,41.0,653.0,68.0,458.0,166.0,242.0,54.0,66.0,15.0,223.0,351.0,97.0,5.0,249.0,23.0,7.0,23.0,4.0,3.0,0.12,138.0,115.0,155.0,60.0,1.0
contrib/netcdf/4.3.0/librpc/rpcutil.c,0ebe32f,0.0,11.0,0.0,68.0,536.0,61.0,3.0,3.0,4.0,1.0,11.0,0.0,10.0,0.0,0.0,41.0,653.0,68.0,458.0,166.0,242.0,54.0,66.0,15.0,223.0,351.0,97.0,5.0,249.0,23.0,7.0,23.0,4.0,3.0,0.12,138.0,115.0,155.0,60.0,1.0
contrib/netcdf/4.3.0/nc_test/util.c,0ebe32f,0.0,11.0,0.0,68.0,536.0,61.0,3.0,3.0,4.0,1.0,11.0,0.0,10.0,0.0,0.0,41.0,653.0,68.0,458.0,166.0,242.0,54.0,66.0,15.0,223.0,351.0,97.0,5.0,249.0,23.0,7.0,23.0,4.0,3.0,0.12,138.0,115.0,155.0,60.0,1.0
contrib/netcdf/4.3.0/ncgen/util.c,0ebe32f,0.0,11.0,0.0,68.0,536.0,61.0,3.0,3.0,4.0,1.0,11.0,0.0,10.0,0.0,0.0,41.0,653.0,68.0,458.0,166.0,242.0,54.0,66.0,15.0,223.0,351.0,97.0,5.0,249.0,23.0,7.0,23.0,4.0,3.0,0.12,138.0,115.0,155.0,60.0,1.0
contrib/netcdf/4.3.0/oc2/ocutil.c,0ebe32f,0.0,11.0,0.0,68.0,536.0,61.0,3.0,3.0,4.0,1.0,11.0,0.0,10.0,0.0,0.0,41.0,653.0,68.0,458.0,166.0,242.0,54.0,66.0,15.0,223.0,351.0,97.0,5.0,249.0,23.0,7.0,23.0,4.0,3.0,0.12,138.0,115.0,155.0,60.0,1.0
contrib/netcdf/4.2.1.1/ncgen/genf77.c,0ebe32f,2.0,35.0,3.0,76.0,789.0,92.0,8.0,7.0,8.0,2.0,39.0,2.0,34.0,3.0,0.0,21.0,937.0,75.0,741.0,142.0,545.0,86.0,37.0,15.0,495.0,638.0,118.0,11.0,509.0,65.0,65.0,68.0,16.0,4.0,0.12,165.0,140.0,175.0,43.0,1.0
contrib/netcdf/4.3.0/ncgen/genf77.c,0ebe32f,2.0,35.0,3.0,76.0,789.0,92.0,8.0,7.0,8.0,2.0,39.0,2.0,34.0,3.0,0.0,21.0,937.0,75.0,741.0,142.0,545.0,86.0,37.0,15.0,495.0,638.0,118.0,11.0,509.0,65.0,65.0,68.0,16.0,4.0,0.12,165.0,140.0,175.0,43.0,1.0
