File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
TestSerializeDrudeForce.cpp,104,33,10,55,36,15,78,18,0.6,2,10,10,10,1,30,26,2,2,0
TestSerializeDrudeLangevinIntegrator.cpp,78,33,11,28,17,7,30,10,1.18,2,4,4,4,1,17,13,2,3,0
TestSerializeGBSAOBCForce.cpp,92,33,9,45,32,9,61,11,0.73,2,7,7,7,1,26,22,2,3,0
TestSerializeHarmonicAngleForce.cpp,87,33,11,38,25,9,45,11,0.87,2,6,6,6,1,22,18,2,3,0
TestSerializeHarmonicBondForce.cpp,85,33,10,37,24,9,41,11,0.89,2,5,5,5,1,22,18,2,3,0
TestSerializeIntegrator.cpp,228,30,15,170,134,44,257,46,0.18,8,7,7,7,1,21,21,0,0,0
TestSerializeMonteCarloAnisotropicBarostat.cpp,77,33,9,30,20,7,42,10,1.1,2,6,6,7,1,18,14,2,3,0
TestSerializeMonteCarloBarostat.cpp,74,33,9,27,17,6,30,8,1.22,2,4,4,4,1,17,13,2,3,0
TestSerializeMonteCarloMembraneBarostat.cpp,77,33,9,30,20,6,42,8,1.1,2,6,6,6,1,18,14,2,3,0
TestSerializeNonbondedForce.cpp,121,33,9,74,55,17,119,19,0.45,2,14,14,14,1,40,36,2,3,0
TestSerializePeriodicTorsionForce.cpp,88,33,10,40,27,9,53,11,0.82,2,7,7,7,1,23,19,2,3,0
TestSerializeRBTorsionForce.cpp,90,33,10,42,29,9,64,11,0.79,2,8,8,8,1,24,20,2,3,0
TestSerializeState.cpp,198,42,17,127,94,43,127,51,0.33,2,21,21,27,1,74,63,6,6,0
TestSerializeSystem.cpp,134,33,12,82,65,22,149,27,0.4,3,14,14,16,1,29,27,1,2,0
TestSerializeTabulatedFunctions.cpp,230,48,39,138,89,63,190,65,0.35,7,8,8,8,1,26,19,3,4,0
TestSettle.h,114,31,9,66,48,22,46,23,0.47,2,5,5,5,1,34,32,1,2,0
TestSplineFitter.cpp,180,31,8,134,89,82,161,84,0.23,5,14,14,14,1,26,26,0,0,0
TestSystem.cpp,124,37,12,69,51,18,105,20,0.54,2,16,16,16,1,40,34,2,4,0
TestVariableLangevinIntegrator.h,334,48,39,242,177,109,177,114,0.2,7,8,8,9,1,40,34,3,4,0
TestVariableVerletIntegrator.h,313,44,32,232,173,102,180,107,0.19,6,9,9,11,1,43,38,2,4,0
TestVectorize.cpp,193,35,11,144,102,35,292,37,0.24,7,11,11,33,1,20,20,0,0,0
TestVectorize8.cpp,236,37,18,162,102,39,300,42,0.23,8,10,10,45,1,21,20,1,1,0
TestVerletIntegrator.h,246,35,20,181,133,76,146,81,0.19,5,9,9,11,1,39,35,1,2,0
TestVirtualSites.h,475,63,28,373,291,143,338,165,0.17,8,11,11,16,1,50,46,1,2,0
ThreadPool.cpp,129,32,14,82,52,22,55,23,0.39,9,2,2,2,1,8,8,0,0,0
ThreadPool.h,111,74,7,25,2,20,0,19,2.96,0,0,0,0,0,0,0,0,0,0
timer.h,59,35,4,5,2,2,2,2,7.0,1,1,1,1,1,5,5,0,0,0
tnt.h,64,28,14,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
tnt_array1d.h,278,31,74,149,32,81,31,52,0.21,21,1,1,1,1,6,4,0,0,0
tnt_array1d_utils.h,230,19,62,142,59,48,56,36,0.13,10,3,3,3,1,15,13,0,2,0
tnt_array2d.h,315,33,80,186,57,96,61,67,0.18,21,2,2,2,1,7,6,0,1,0
tnt_array2d_utils.h,287,32,67,184,90,77,87,64,0.17,11,4,4,5,1,18,15,0,3,0
tnt_array3d.h,296,24,73,187,68,109,72,77,0.13,20,2,2,3,1,8,7,0,1,0
tnt_array3d_utils.h,236,1,64,167,98,86,97,74,0.01,10,5,5,6,1,19,15,0,3,0
tnt_cmat.h,580,41,143,322,151,128,168,108,0.13,37,2,2,2,1,11,8,0,2,0
tnt_fortran_array1d.h,267,29,69,138,30,76,29,49,0.21,19,1,1,1,1,6,5,0,0,0
tnt_fortran_array1d_utils.h,242,40,57,142,59,48,56,36,0.28,10,3,3,3,1,15,13,0,2,0
tnt_fortran_array2d.h,225,21,64,120,25,73,25,47,0.17,18,1,1,1,1,5,4,0,1,0
tnt_fortran_array2d_utils.h,236,19,49,165,78,67,76,55,0.12,10,4,4,5,1,18,15,0,3,0
tnt_fortran_array3d.h,223,20,60,119,27,74,26,49,0.17,17,1,1,1,1,6,4,0,1,0
tnt_fortran_array3d_utils.h,249,19,59,167,98,86,97,74,0.11,10,5,5,6,1,19,15,0,3,0
tnt_i_refvec.h,243,51,46,124,37,54,37,34,0.41,14,2,2,2,1,7,6,0,1,0
tnt_math_utils.h,34,9,8,14,5,6,3,3,0.64,1,2,2,2,1,11,10,0,1,0
tnt_sparse_matrix_csr.h,103,53,23,28,6,25,6,17,1.89,7,1,1,1,1,1,1,0,0,0
tnt_stopwatch.h,95,18,20,54,16,20,15,18,0.33,6,2,2,2,1,6,6,0,0,0
tnt_subscript.h,54,35,9,4,0,4,0,2,8.75,0,0,0,0,0,0,0,0,0,0
tnt_vec.h,404,44,98,203,86,80,94,64,0.22,30,1,1,1,1,9,6,0,1,0
tnt_version.h,39,22,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Units.h,97,77,6,12,10,12,0,11,6.42,0,0,0,0,0,0,0,0,0,0
VariableLangevinIntegrator.cpp,95,30,10,48,28,9,32,12,0.62,7,2,2,2,1,6,6,0,0,0
VariableLangevinIntegrator.h,175,123,7,41,8,21,8,20,3.0,8,1,1,1,1,3,3,0,0,0
VariableLangevinIntegratorProxy.cpp,63,30,6,25,17,7,15,7,1.2,3,1,1,1,1,8,8,0,0,0
VariableLangevinIntegratorProxy.h,17,1,5,8,0,6,0,5,0.12,0,0,0,0,0,0,0,0,0,0
VariableVerletIntegrator.cpp,90,30,9,44,24,9,28,12,0.68,7,2,2,2,1,6,6,0,0,0
VariableVerletIntegrator.h,123,90,7,22,2,14,2,13,4.09,2,1,1,1,1,3,3,0,0,0
VariableVerletIntegratorProxy.cpp,57,30,6,19,11,5,11,7,1.58,3,1,1,1,1,6,6,0,0,0
VariableVerletIntegratorProxy.h,17,1,5,8,0,6,0,5,0.12,0,0,0,0,0,0,0,0,0,0
Vec3.h,168,51,24,90,44,32,36,30,0.57,19,1,1,1,1,4,4,0,0,0
vecmath.cpp,8,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0
vectorize.h,45,31,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
vectorize8.h,277,45,36,184,70,69,65,68,0.24,56,1,1,1,1,3,3,0,0,0
vectorize_neon.h,364,51,45,265,108,100,91,100,0.19,74,1,1,1,1,3,3,0,0,0
vectorize_pnacl.h,362,49,52,257,93,106,73,105,0.19,74,1,1,1,1,3,3,0,0,0
vectorize_sse.h,329,49,45,231,75,91,71,89,0.21,74,1,1,1,1,3,3,0,0,0
vectypes.h,1251,198,141,908,291,384,457,219,0.22,114,1,1,1,1,8,8,0,0,0
VerletIntegrator.cpp,79,30,8,35,18,8,22,11,0.86,6,2,2,2,1,5,5,0,0,0
VerletIntegrator.h,85,60,7,14,0,10,0,9,4.29,0,0,0,0,0,0,0,0,0,0
VerletIntegratorProxy.cpp,55,30,6,17,9,5,9,7,1.76,3,1,1,1,1,5,5,0,0,0
VerletIntegratorProxy.h,17,1,5,8,0,6,0,5,0.12,0,0,0,0,0,0,0,0,0,0
VirtualSite.cpp,137,30,18,85,43,24,45,22,0.35,16,2,2,2,1,5,5,0,0,0
VirtualSite.h,231,168,11,48,0,30,0,29,3.5,2,1,1,1,1,2,2,0,0,0
vmem.cpp,1287,266,220,589,434,158,344,155,0.45,29,4,4,5,2,27,19,3,5,0
vmem.h,240,113,46,50,5,40,4,34,2.26,4,1,1,1,1,3,3,0,0,0
windowsExport.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsExportAmoeba.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsExportAmoebaReference.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsExportCpu.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsExportCuda.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsExportCudaCompiler.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsExportDrude.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsExportOpenCL.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsExportPme.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsExportRpmd.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
windowsIncludes.h,41,22,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
x86.h,21,9,4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
x86assembler.cpp,4241,422,779,2829,2320,256,2796,182,0.15,21,47,40,53,22,185,131,15,34,0
x86assembler.h,6595,2599,1114,2653,2618,2630,4168,4126,0.98,4108,1,1,1,1,1,1,0,0,0
x86compiler.cpp,1398,171,236,810,620,208,504,144,0.21,51,4,3,4,2,22,15,1,3,0
x86compiler.h,5637,2728,865,1782,1390,1536,2217,2244,1.53,2088,1,1,1,1,1,1,0,0,0
x86context.cpp,5787,764,1124,3637,2889,904,2589,782,0.21,90,12,8,13,5,54,38,5,10,0
x86context_p.h,523,155,124,230,121,91,98,81,0.67,19,1,1,1,1,12,9,0,3,0
x86cpuinfo.cpp,409,69,71,194,145,34,188,28,0.36,5,17,16,18,2,66,35,8,10,0
x86cpuinfo.h,273,126,36,105,7,89,6,28,1.2,7,1,1,1,1,3,3,0,0,0
x86inst.cpp,4971,88,71,4704,2508,4662,36,27,0.02,2,9,9,9,8,36,28,2,7,0
x86inst.h,2410,1790,177,1584,48,1494,47,79,1.13,40,1,1,1,1,3,3,0,0,0
x86operand.cpp,85,18,21,41,28,14,24,12,0.44,3,3,3,3,1,15,12,0,3,0
x86operand.h,2030,871,303,961,581,599,655,737,0.91,461,1,1,1,1,2,2,0,0,0
x86operand_regs.cpp,285,34,23,225,223,225,0,2,0.15,0,0,0,0,0,0,0,0,0,0
x86scheduler.cpp,94,49,18,21,1,18,1,15,2.33,3,1,1,1,1,8,2,5,0,0
x86scheduler_p.h,63,30,15,9,0,8,0,7,3.33,0,0,0,0,0,0,0,0,0,0
XmlSerializer.cpp,198,58,17,119,74,29,70,33,0.49,8,3,3,4,2,17,14,2,1,0
XmlSerializer.h,98,53,7,32,11,17,9,13,1.66,3,1,1,1,1,6,6,0,0,0
zone.cpp,195,35,43,112,85,27,69,24,0.31,8,3,3,4,2,18,13,2,3,0
zone.h,221,125,41,51,16,33,10,28,2.45,6,1,1,1,1,5,4,0,1,0
