index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
23,DMS.py,1.0,1.0,1.0,1.0,8.0,0.0,7.0,1.0,2.0,8.0,8.0,117.0,17.0,69.0,16.0,53.0,35.0,0.0,0.0,65.0,14.0,51.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,2.0,0.51,12.0,12.0,12.0,8.0,11
24,GMS.py,3.0,3.0,3.0,2.0,15.0,1.0,12.0,2.0,1.0,13.0,13.0,275.0,44.0,173.0,23.0,150.0,65.0,0.0,0.0,165.0,20.0,145.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,10.0,3.0,0.38,48.0,48.0,48.0,36.0,12
25,GRO.py,2.0,2.0,2.0,1.0,22.0,2.0,12.0,9.0,3.0,8.0,8.0,261.0,42.0,128.0,19.0,109.0,113.0,0.0,0.0,95.0,17.0,78.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,1.0,4.0,0.88,23.0,23.0,23.0,8.0,12
26,INPCRD.py,6.0,6.0,6.0,1.0,25.0,2.0,20.0,3.0,1.0,1.0,1.0,58.0,9.0,25.0,4.0,21.0,24.0,0.0,0.0,24.0,4.0,20.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,3.0,0.96,6.0,6.0,6.0,1.0,11
27,LAMMPS.py,3.0,3.0,3.0,2.0,8.0,0.0,8.0,1.0,3.0,4.0,4.0,141.0,26.0,45.0,11.0,34.0,74.0,0.0,0.0,45.0,11.0,34.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,1.64,12.0,12.0,12.0,10.0,12
28,MOL2.py,3.0,3.0,3.0,1.0,23.0,3.0,14.0,5.0,2.0,10.0,10.0,361.0,72.0,159.0,17.0,142.0,139.0,0.0,0.0,141.0,16.0,125.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,3.0,0.87,32.0,32.0,32.0,19.0,12
29,PDB.py,3.0,3.0,3.0,2.0,24.0,3.0,12.0,9.0,6.0,34.0,33.0,1296.0,264.0,466.0,59.0,407.0,599.0,2.0,0.0,408.0,55.0,353.0,2.0,2.0,2.0,1.0,16.0,16.0,16.0,13.0,4.0,1.29,118.0,118.0,118.0,75.0,16
30,PDBQT.py,2.0,2.0,2.0,1.0,14.0,1.0,9.0,5.0,2.0,13.0,13.0,377.0,51.0,143.0,23.0,120.0,202.0,0.0,0.0,123.0,21.0,102.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,1.41,28.0,28.0,28.0,17.0,12
31,PQR.py,2.0,2.0,2.0,1.0,15.0,1.0,8.0,6.0,2.0,8.0,8.0,265.0,49.0,82.0,14.0,68.0,146.0,0.0,0.0,73.0,14.0,59.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,1.78,18.0,18.0,18.0,8.0,13
32,TRJ.py,3.0,3.0,3.0,2.0,22.0,2.0,15.0,6.0,4.0,29.0,28.0,937.0,167.0,456.0,49.0,407.0,347.0,2.0,0.0,407.0,44.0,363.0,2.0,2.0,2.0,1.0,15.0,15.0,15.0,9.0,3.0,0.76,108.0,108.0,108.0,60.0,12
34,TRZ.py,2.0,2.0,2.0,1.0,20.0,1.0,16.0,3.0,3.0,23.0,23.0,625.0,96.0,402.0,41.0,361.0,139.0,0.0,0.0,305.0,34.0,271.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,2.0,0.35,62.0,62.0,62.0,41.0,17
36,XYZ.py,2.0,2.0,2.0,1.0,15.0,1.0,9.0,5.0,2.0,17.0,17.0,407.0,71.0,176.0,30.0,146.0,168.0,0.0,0.0,168.0,28.0,140.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,3.0,0.95,44.0,44.0,44.0,29.0,15
41,extensions.py,2.0,2.0,2.0,1.0,16.0,2.0,9.0,8.0,2.0,6.0,5.0,185.0,40.0,55.0,11.0,44.0,92.0,1.0,0.0,49.0,10.0,39.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,2.0,1.67,13.0,13.0,13.0,6.0,6
42,TRR.py,2.0,2.0,2.0,1.0,13.0,0.0,11.0,2.0,3.0,17.0,17.0,418.0,57.0,221.0,38.0,183.0,152.0,0.0,0.0,160.0,26.0,134.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,15.0,3.0,0.69,50.0,50.0,50.0,33.0,18
43,XTC.py,2.0,2.0,2.0,1.0,9.0,1.0,7.0,0.0,2.0,4.0,4.0,111.0,25.0,43.0,12.0,31.0,46.0,0.0,0.0,39.0,12.0,27.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,1.0,1.07,10.0,10.0,10.0,6.0,16
47,statno.py,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,9.0,4.0,1.0,3.0,29.0,1.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.25,1.0,1.0,1.0,1.0,7
48,AtomGroup.py,2.0,2.0,2.0,1.0,17.0,2.0,6.0,8.0,8.0,178.0,177.0,4204.0,889.0,1343.0,298.0,1028.0,2015.0,1.0,0.0,1089.0,235.0,854.0,1.0,1.0,1.0,1.0,14.0,14.0,14.0,8.0,3.0,1.5,376.0,376.0,376.0,239.0,24
49,Selection.py,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,39.0,106.0,105.0,1105.0,184.0,788.0,156.0,632.0,165.0,1.0,0.0,686.0,156.0,530.0,1.0,1.0,1.0,1.0,30.0,30.0,30.0,26.0,3.0,0.21,195.0,195.0,195.0,139.0,13
50,Timeseries.py,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,10.0,35.0,35.0,399.0,101.0,162.0,47.0,115.0,136.0,0.0,0.0,148.0,46.0,102.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,0.84,61.0,61.0,61.0,44.0,7
52,distances.py,5.0,5.0,5.0,1.0,45.0,7.0,18.0,19.0,0.0,12.0,12.0,625.0,123.0,242.0,32.0,210.0,261.0,0.0,0.0,193.0,15.0,178.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,3.0,2.0,1.08,62.0,62.0,62.0,18.0,33
55,transformations.py,2.0,2.0,2.0,1.0,27.0,2.0,14.0,11.0,1.0,54.0,53.0,1839.0,286.0,781.0,66.0,715.0,775.0,2.0,0.0,680.0,64.0,616.0,2.0,2.0,2.0,1.0,8.0,8.0,8.0,5.0,4.0,0.99,153.0,153.0,153.0,86.0,16
61,charmm.py,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,4.0,4.0,57.0,13.0,16.0,6.0,10.0,29.0,0.0,0.0,16.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.81,4.0,4.0,4.0,4.0,7
62,gromacs.py,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,50.0,13.0,9.0,4.0,5.0,28.0,0.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.11,2.0,2.0,2.0,2.0,7
