File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
lammps/src/GPU/pair_coul_long_gpu.cpp,2104,4.0,23.0,1.0,46.0,211.0,31.0,4.0,4.0,4.0,1.0,27.0,4.0,23.0,1.0,0.0,7.0,288.0,46.0,184.0,58.0,117.0,31.0,0.0,27.0,107.0,136.0,36.0,0.0,100.0,12.0,12.0,14.0,1.0,6.0,0.17,28.0,28.0,31.0,7.0,0,0,0
lammps/src/USER-OMP/angle_cosine_shift_exp_omp.cpp,2105,9.0,38.0,3.0,37.0,127.0,27.0,7.0,7.0,8.0,1.0,49.0,9.0,37.0,3.0,0.0,3.0,189.0,37.0,114.0,20.0,79.0,27.0,1.0,13.0,79.0,102.0,19.0,0.0,83.0,12.0,12.0,15.0,1.0,4.0,0.24,21.0,21.0,25.0,3.0,0,0,0
lammps/src/VORONOI/compute_voronoi_atom.cpp,2107,4.0,30.0,6.0,67.0,383.0,92.0,8.0,8.0,9.0,1.0,39.0,4.0,30.0,6.0,0.0,12.0,537.0,67.0,356.0,62.0,272.0,92.0,4.0,23.0,252.0,347.0,58.0,0.0,289.0,23.0,23.0,26.0,1.0,6.0,0.26,100.0,100.0,112.0,12.0,0,0,0
lammps/lib/atc/InterscaleOperators.cpp,2109,0.0,8.0,0.0,72.0,422.0,174.0,2.0,2.0,2.0,1.0,9.0,0.0,8.0,0.0,0.0,50.0,666.0,72.0,417.0,95.0,221.0,174.0,0.0,5.0,222.0,315.0,79.0,0.0,236.0,14.0,14.0,14.0,14.0,4.0,0.42,88.0,88.0,89.0,63.0,0,0,0
lammps/lib/atc/InterscaleOperators.h,2110,0.0,6.0,0.0,101.0,253.0,111.0,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,20.0,465.0,101.0,238.0,157.0,51.0,111.0,0.0,15.0,161.0,185.0,120.0,0.0,65.0,4.0,4.0,4.0,1.0,2.0,0.47,42.0,42.0,42.0,20.0,0,0,0
lammps/lib/gpu/lal_sw_ext.cpp,2111,2.0,17.0,0.0,20.0,93.0,18.0,3.0,3.0,4.0,1.0,19.0,2.0,17.0,0.0,0.0,5.0,131.0,20.0,89.0,33.0,55.0,18.0,0.0,4.0,36.0,55.0,17.0,0.0,38.0,13.0,13.0,15.0,1.0,3.0,0.2,17.0,17.0,19.0,5.0,0,0,0
lammps/src/USER-SPH/pair_sph_taitwater.cpp,2112,5.0,23.0,3.0,58.0,195.0,48.0,4.0,4.0,5.0,1.0,31.0,5.0,23.0,3.0,0.0,8.0,301.0,58.0,185.0,37.0,144.0,48.0,0.0,10.0,134.0,168.0,36.0,0.0,132.0,16.0,16.0,19.0,1.0,6.0,0.26,34.0,34.0,37.0,8.0,0,0,0
lammps/tools/xmovie/dummy.c,2113,7.0,34.0,0.0,14.0,45.0,4.0,9.0,9.0,9.0,1.0,41.0,7.0,34.0,0.0,0.0,1.0,63.0,14.0,35.0,4.0,26.0,4.0,1.0,9.0,22.0,31.0,4.0,0.0,27.0,9.0,9.0,9.0,1.0,3.0,0.11,9.0,9.0,9.0,1.0,0,0,0
lammps/src/USER-OMP/pair_lj_cut_tip4p_long_soft_omp.cpp,2114,11.0,54.0,6.0,83.0,345.0,58.0,8.0,8.0,9.0,1.0,71.0,11.0,54.0,6.0,0.0,6.0,484.0,83.0,324.0,49.0,255.0,58.0,1.0,21.0,245.0,296.0,44.0,0.0,252.0,36.0,36.0,41.0,1.0,7.0,0.18,50.0,50.0,56.0,6.0,0,0,0
lammps/lib/poems/freebodyjoint.cpp,2115,2.0,7.0,1.0,40.0,89.0,27.0,1.0,1.0,1.0,1.0,10.0,2.0,7.0,1.0,0.0,12.0,156.0,40.0,80.0,24.0,46.0,27.0,0.0,9.0,56.0,70.0,24.0,0.0,46.0,3.0,3.0,3.0,1.0,2.0,0.34,14.0,14.0,14.0,12.0,0,0,0
