File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
src/molecule.cpp,4c19f60,6.0,37.0,2.0,244.0,1170.0,289.0,11.0,11.0,13.0,1.0,44.0,6.0,37.0,2.0,0.0,31.0,1702.0,244.0,1154.0,173.0,928.0,289.0,0.0,16.0,826.0,1165.0,173.0,0.0,992.0,59.0,59.0,68.0,11.0,5.0,0.25,352.0,352.0,408.0,51.0,0.0
src/MC/fix_gcmc.cpp,4c19f60,9.0,57.0,2.0,353.0,1807.0,145.0,13.0,13.0,16.0,2.0,68.0,9.0,57.0,2.0,0.0,31.0,2305.0,353.0,1775.0,322.0,1454.0,145.0,0.0,32.0,1250.0,1668.0,315.0,1.0,1352.0,39.0,39.0,54.0,9.0,5.0,0.08,416.0,416.0,483.0,67.0,1.0
src/MC/fix_gcmc.cpp,da1a3ac,9.0,57.0,2.0,353.0,1807.0,145.0,13.0,13.0,16.0,2.0,68.0,9.0,57.0,2.0,0.0,31.0,2305.0,353.0,1775.0,322.0,1454.0,145.0,0.0,32.0,1250.0,1668.0,315.0,1.0,1352.0,39.0,39.0,54.0,9.0,5.0,0.08,416.0,416.0,483.0,67.0,0.0
src/fix_nh.cpp,e993934,8.0,47.0,4.0,358.0,1684.0,260.0,14.0,14.0,17.0,2.0,59.0,8.0,47.0,4.0,0.0,35.0,2302.0,358.0,1662.0,181.0,1380.0,260.0,0.0,22.0,1115.0,1600.0,182.0,0.0,1418.0,140.0,140.0,222.0,46.0,4.0,0.16,488.0,488.0,595.0,85.0,1.0
src/fix_nh.cpp,3ca986f,8.0,47.0,4.0,359.0,1684.0,261.0,14.0,14.0,17.0,2.0,59.0,8.0,47.0,4.0,0.0,35.0,2304.0,359.0,1662.0,181.0,1380.0,261.0,0.0,22.0,1115.0,1600.0,182.0,0.0,1418.0,140.0,140.0,222.0,46.0,4.0,0.16,488.0,488.0,595.0,85.0,0.0
src/fix_ave_time.cpp,00738a8,9.0,51.0,6.0,176.0,838.0,145.0,19.0,19.0,22.0,2.0,66.0,9.0,51.0,6.0,0.0,16.0,1159.0,176.0,822.0,103.0,685.0,145.0,0.0,16.0,587.0,887.0,103.0,0.0,784.0,119.0,119.0,159.0,9.0,6.0,0.18,298.0,298.0,354.0,41.0,1.0
src/fix_ave_time.cpp,853eab8,9.0,51.0,6.0,176.0,838.0,145.0,19.0,19.0,22.0,2.0,66.0,9.0,51.0,6.0,0.0,16.0,1159.0,176.0,822.0,103.0,685.0,145.0,0.0,16.0,587.0,887.0,103.0,0.0,784.0,119.0,119.0,159.0,9.0,6.0,0.18,298.0,298.0,354.0,41.0,0.0
src/compute_msd.cpp,853eab8,8.0,33.0,4.0,52.0,173.0,37.0,7.0,7.0,7.0,1.0,44.0,8.0,33.0,4.0,0.0,5.0,262.0,52.0,164.0,39.0,131.0,37.0,0.0,9.0,129.0,163.0,38.0,0.0,125.0,18.0,18.0,18.0,1.0,4.0,0.23,33.0,33.0,33.0,5.0,1.0
src/compute_msd.cpp,28e3ebf,8.0,33.0,4.0,52.0,175.0,38.0,7.0,7.0,7.0,1.0,45.0,8.0,33.0,4.0,0.0,5.0,265.0,52.0,166.0,38.0,131.0,38.0,0.0,9.0,129.0,163.0,37.0,0.0,126.0,17.0,17.0,17.0,1.0,4.0,0.23,33.0,33.0,33.0,5.0,0.0
src/compute_msd.cpp,050a136,8.0,33.0,4.0,52.0,175.0,38.0,7.0,7.0,7.0,1.0,45.0,8.0,33.0,4.0,0.0,5.0,265.0,52.0,166.0,38.0,131.0,38.0,0.0,9.0,129.0,163.0,37.0,0.0,126.0,17.0,17.0,17.0,1.0,4.0,0.23,33.0,33.0,33.0,5.0,1.0
src/compute_msd.cpp,d241f92,9.0,33.0,4.0,55.0,174.0,38.0,7.0,7.0,7.0,1.0,45.0,9.0,33.0,4.0,0.0,5.0,267.0,55.0,165.0,38.0,130.0,38.0,0.0,9.0,128.0,162.0,37.0,0.0,125.0,17.0,17.0,17.0,1.0,4.0,0.23,33.0,33.0,33.0,5.0,0.0
src/domain.cpp,760071b,4.0,32.0,1.0,272.0,1362.0,281.0,11.0,11.0,13.0,1.0,38.0,4.0,32.0,1.0,0.0,41.0,1912.0,272.0,1305.0,180.0,989.0,281.0,0.0,57.0,919.0,1291.0,177.0,0.0,1114.0,61.0,61.0,63.0,12.0,4.0,0.22,452.0,452.0,522.0,75.0,1.0
src/domain.cpp,59e5d36,4.0,32.0,1.0,272.0,1362.0,281.0,11.0,11.0,13.0,1.0,38.0,4.0,32.0,1.0,0.0,41.0,1912.0,272.0,1305.0,180.0,989.0,281.0,0.0,57.0,919.0,1291.0,177.0,0.0,1114.0,61.0,61.0,63.0,12.0,4.0,0.22,452.0,452.0,522.0,75.0,0.0
src/fix_langevin.cpp,d13b2ec,4.0,29.0,2.0,133.0,675.0,110.0,9.0,9.0,9.0,1.0,35.0,4.0,29.0,2.0,0.0,22.0,916.0,133.0,640.0,115.0,520.0,110.0,7.0,30.0,423.0,620.0,113.0,0.0,507.0,64.0,64.0,64.0,1.0,6.0,0.17,195.0,195.0,203.0,22.0,1.0
src/fix_langevin.cpp,eebf110,4.0,29.0,2.0,135.0,677.0,113.0,9.0,9.0,9.0,1.0,36.0,4.0,29.0,2.0,0.0,22.0,923.0,135.0,642.0,115.0,522.0,113.0,7.0,30.0,425.0,622.0,113.0,0.0,509.0,64.0,64.0,64.0,1.0,6.0,0.18,195.0,195.0,204.0,22.0,0.0
src/KOKKOS/atom_vec_atomic_kokkos.cpp,eebf110,1.0,22.0,0.0,163.0,1148.0,86.0,4.0,4.0,4.0,1.0,24.0,1.0,22.0,0.0,0.0,47.0,1397.0,163.0,1137.0,351.0,687.0,86.0,0.0,11.0,734.0,909.0,209.0,0.0,700.0,16.0,16.0,16.0,1.0,4.0,0.08,180.0,180.0,183.0,47.0,1.0
src/KOKKOS/atom_vec_charge_kokkos.cpp,eebf110,1.0,22.0,0.0,187.0,1236.0,97.0,4.0,4.0,4.0,1.0,23.0,1.0,22.0,0.0,0.0,52.0,1520.0,187.0,1225.0,380.0,735.0,97.0,0.0,11.0,788.0,977.0,222.0,0.0,755.0,18.0,18.0,18.0,1.0,4.0,0.08,192.0,192.0,195.0,52.0,1.0
src/KOKKOS/atom_vec_atomic_kokkos.cpp,eb10541,1.0,22.0,0.0,164.0,1149.0,86.0,4.0,4.0,4.0,1.0,24.0,1.0,22.0,0.0,0.0,47.0,1399.0,164.0,1138.0,351.0,688.0,86.0,0.0,11.0,735.0,910.0,209.0,0.0,701.0,16.0,16.0,16.0,1.0,4.0,0.08,180.0,180.0,183.0,47.0,0.0
src/KOKKOS/atom_vec_charge_kokkos.cpp,eb10541,1.0,22.0,0.0,188.0,1237.0,97.0,4.0,4.0,4.0,1.0,23.0,1.0,22.0,0.0,0.0,52.0,1522.0,188.0,1226.0,380.0,736.0,97.0,0.0,11.0,789.0,978.0,222.0,0.0,756.0,18.0,18.0,18.0,1.0,4.0,0.08,192.0,192.0,195.0,52.0,0.0
src/KOKKOS/pair_lj_charmm_coul_long_kokkos.cpp,e3e687f,4.0,27.0,1.0,86.0,396.0,55.0,4.0,4.0,5.0,1.0,32.0,4.0,27.0,1.0,0.0,13.0,537.0,86.0,365.0,114.0,240.0,55.0,1.0,30.0,244.0,290.0,86.0,0.0,204.0,10.0,10.0,11.0,1.0,2.0,0.15,52.0,52.0,61.0,13.0,1.0
src/KOKKOS/pair_lj_charmm_coul_long_kokkos.cpp,c8fb847,5.0,28.0,1.0,82.0,390.0,52.0,4.0,4.0,5.0,1.0,34.0,5.0,28.0,1.0,0.0,12.0,524.0,82.0,359.0,112.0,238.0,52.0,1.0,30.0,242.0,286.0,85.0,0.0,201.0,10.0,10.0,11.0,1.0,2.0,0.14,50.0,50.0,59.0,12.0,0.0
src/KOKKOS/pair_lj_cut_kokkos.cpp,c8fb847,2.0,15.0,0.0,47.0,193.0,32.0,3.0,3.0,4.0,1.0,18.0,2.0,15.0,0.0,0.0,10.0,272.0,47.0,169.0,40.0,118.0,32.0,1.0,23.0,104.0,131.0,23.0,0.0,108.0,9.0,9.0,12.0,1.0,2.0,0.19,32.0,32.0,39.0,10.0,1.0
src/KOKKOS/pair_lj_cut_kokkos.cpp,34785af,3.0,18.0,1.0,51.0,215.0,33.0,4.0,4.0,4.0,1.0,21.0,3.0,18.0,1.0,0.0,10.0,299.0,51.0,191.0,40.0,136.0,33.0,1.0,23.0,118.0,149.0,23.0,0.0,126.0,11.0,11.0,14.0,1.0,2.0,0.17,36.0,36.0,43.0,10.0,0.0
src/VORONOI/compute_voronoi_atom.cpp,34785af,5.0,34.0,5.0,84.0,463.0,97.0,9.0,9.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,13.0,639.0,84.0,434.0,65.0,336.0,97.0,4.0,25.0,300.0,420.0,60.0,0.0,360.0,31.0,31.0,34.0,1.0,6.0,0.22,123.0,123.0,135.0,13.0,1.0
src/VORONOI/compute_voronoi_atom.cpp,ad1d7ff,5.0,34.0,5.0,84.0,464.0,97.0,10.0,10.0,10.0,1.0,44.0,5.0,33.0,5.0,0.0,13.0,640.0,84.0,435.0,65.0,337.0,97.0,4.0,25.0,300.0,421.0,60.0,0.0,361.0,31.0,31.0,34.0,1.0,6.0,0.22,124.0,124.0,136.0,13.0,0.0
src/KOKKOS/neighbor_kokkos.cpp,775b163,2.0,18.0,1.0,98.0,439.0,62.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,24.0,597.0,98.0,429.0,56.0,312.0,62.0,0.0,10.0,291.0,407.0,48.0,0.0,359.0,20.0,20.0,23.0,5.0,4.0,0.14,116.0,116.0,128.0,30.0,1.0
src/KOKKOS/atom_kokkos.cpp,775b163,3.0,16.0,2.0,48.0,158.0,49.0,3.0,3.0,3.0,1.0,22.0,3.0,16.0,2.0,0.0,9.0,255.0,48.0,148.0,15.0,112.0,49.0,0.0,10.0,118.0,141.0,13.0,0.0,128.0,13.0,13.0,13.0,4.0,2.0,0.33,24.0,24.0,24.0,12.0,1.0
src/KOKKOS/neighbor_kokkos.cpp,9eb8702,2.0,18.0,1.0,98.0,438.0,63.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,24.0,597.0,98.0,428.0,56.0,311.0,63.0,0.0,10.0,290.0,405.0,48.0,0.0,357.0,20.0,20.0,23.0,5.0,4.0,0.15,115.0,115.0,127.0,30.0,0.0
src/KOKKOS/atom_kokkos.cpp,9eb8702,3.0,15.0,2.0,49.0,165.0,49.0,3.0,3.0,3.0,1.0,20.0,3.0,15.0,2.0,0.0,10.0,263.0,49.0,155.0,17.0,116.0,49.0,0.0,10.0,121.0,146.0,15.0,0.0,131.0,13.0,13.0,13.0,4.0,2.0,0.32,26.0,26.0,26.0,13.0,0.0
src/KOKKOS/comm_kokkos.cpp,9eb8702,3.0,22.0,2.0,151.0,720.0,124.0,5.0,5.0,5.0,1.0,28.0,3.0,22.0,2.0,0.0,30.0,994.0,151.0,700.0,139.0,480.0,124.0,0.0,20.0,402.0,549.0,104.0,0.0,445.0,41.0,41.0,47.0,1.0,8.0,0.18,149.0,149.0,162.0,30.0,1.0
src/KOKKOS/neigh_bond_kokkos.cpp,9eb8702,4.0,29.0,2.0,192.0,994.0,99.0,7.0,7.0,10.0,2.0,35.0,4.0,29.0,2.0,0.0,32.0,1284.0,192.0,974.0,186.0,730.0,99.0,1.0,19.0,680.0,890.0,142.0,0.0,748.0,36.0,36.0,49.0,13.0,4.0,0.1,217.0,217.0,306.0,88.0,1.0
src/KOKKOS/comm_kokkos.cpp,92ae19e,3.0,22.0,2.0,151.0,722.0,124.0,5.0,5.0,5.0,1.0,28.0,3.0,22.0,2.0,0.0,30.0,996.0,151.0,702.0,139.0,482.0,124.0,0.0,20.0,404.0,552.0,104.0,0.0,448.0,41.0,41.0,47.0,1.0,8.0,0.18,150.0,150.0,163.0,30.0,0.0
src/KOKKOS/neigh_bond_kokkos.cpp,92ae19e,4.0,30.0,2.0,191.0,1006.0,100.0,7.0,7.0,10.0,2.0,35.0,4.0,30.0,2.0,0.0,32.0,1296.0,191.0,985.0,186.0,741.0,100.0,1.0,20.0,688.0,904.0,142.0,0.0,762.0,42.0,42.0,56.0,13.0,4.0,0.1,223.0,223.0,313.0,88.0,0.0
src/KOKKOS/neighbor_kokkos.cpp,b5c90fa,2.0,18.0,1.0,98.0,438.0,63.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,24.0,597.0,98.0,428.0,56.0,311.0,63.0,0.0,10.0,290.0,405.0,48.0,0.0,357.0,20.0,20.0,23.0,5.0,4.0,0.15,115.0,115.0,127.0,30.0,1.0
src/KOKKOS/neighbor_kokkos.cpp,8c4d592,2.0,18.0,1.0,98.0,439.0,63.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,24.0,598.0,98.0,429.0,56.0,312.0,63.0,0.0,10.0,291.0,406.0,48.0,0.0,358.0,20.0,20.0,23.0,5.0,4.0,0.15,115.0,115.0,127.0,30.0,0.0
src/KOKKOS/neighbor_kokkos.cpp,0541d52,2.0,18.0,1.0,98.0,439.0,63.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,24.0,598.0,98.0,429.0,56.0,312.0,63.0,0.0,10.0,291.0,406.0,48.0,0.0,358.0,20.0,20.0,23.0,5.0,4.0,0.15,115.0,115.0,127.0,30.0,1.0
src/KOKKOS/neighbor_kokkos.cpp,dca90d4,2.0,18.0,1.0,98.0,440.0,63.0,5.0,5.0,5.0,1.0,20.0,2.0,18.0,1.0,0.0,24.0,599.0,98.0,430.0,57.0,313.0,63.0,0.0,10.0,292.0,407.0,49.0,0.0,358.0,20.0,20.0,24.0,5.0,4.0,0.15,115.0,115.0,128.0,30.0,0.0
src/USER-LB/fix_lb_viscous.cpp,f86a9f4,2.0,8.0,0.0,36.0,83.0,27.0,2.0,2.0,2.0,1.0,10.0,2.0,8.0,0.0,0.0,9.0,146.0,36.0,72.0,22.0,38.0,27.0,0.0,11.0,36.0,58.0,22.0,0.0,36.0,7.0,7.0,8.0,1.0,2.0,0.38,20.0,20.0,21.0,9.0,1.0
src/USER-LB/fix_lb_viscous.cpp,def0d4e,2.0,8.0,0.0,36.0,83.0,27.0,2.0,2.0,2.0,1.0,10.0,2.0,8.0,0.0,0.0,9.0,146.0,36.0,72.0,22.0,38.0,27.0,0.0,11.0,36.0,58.0,22.0,0.0,36.0,7.0,7.0,8.0,1.0,2.0,0.38,20.0,20.0,21.0,9.0,0.0
src/pair.cpp,02408d3,5.0,37.0,2.0,242.0,1278.0,201.0,8.0,8.0,9.0,1.0,43.0,5.0,37.0,2.0,0.0,34.0,1721.0,242.0,1253.0,149.0,969.0,201.0,0.0,25.0,925.0,1195.0,129.0,0.0,1066.0,30.0,30.0,33.0,4.0,5.0,0.16,272.0,272.0,306.0,40.0,1.0
src/KOKKOS/compute_temp_kokkos.cpp,02408d3,3.0,18.0,0.0,25.0,113.0,16.0,3.0,3.0,3.0,1.0,21.0,3.0,18.0,0.0,0.0,5.0,153.0,25.0,99.0,25.0,68.0,16.0,1.0,13.0,67.0,84.0,16.0,0.0,68.0,4.0,4.0,4.0,1.0,2.0,0.16,16.0,16.0,16.0,5.0,1.0
src/KOKKOS/domain_kokkos.cpp,02408d3,2.0,23.0,0.0,46.0,312.0,60.0,3.0,3.0,4.0,1.0,24.0,2.0,23.0,0.0,0.0,13.0,418.0,46.0,309.0,76.0,204.0,60.0,0.0,3.0,200.0,246.0,51.0,0.0,195.0,16.0,16.0,25.0,1.0,3.0,0.19,45.0,45.0,56.0,13.0,1.0
src/KOKKOS/atom_kokkos.cpp,02408d3,3.0,15.0,2.0,49.0,165.0,49.0,3.0,3.0,3.0,1.0,20.0,3.0,15.0,2.0,0.0,10.0,263.0,49.0,155.0,17.0,116.0,49.0,0.0,10.0,121.0,146.0,15.0,0.0,131.0,13.0,13.0,13.0,4.0,2.0,0.32,26.0,26.0,26.0,13.0,1.0
src/pair.cpp,384aef4,5.0,37.0,2.0,244.0,1278.0,201.0,8.0,8.0,9.0,1.0,43.0,5.0,37.0,2.0,0.0,34.0,1723.0,244.0,1253.0,149.0,969.0,201.0,0.0,25.0,925.0,1195.0,129.0,0.0,1066.0,30.0,30.0,33.0,4.0,5.0,0.16,272.0,272.0,306.0,40.0,0.0
src/KOKKOS/compute_temp_kokkos.cpp,384aef4,3.0,18.0,0.0,26.0,114.0,16.0,3.0,3.0,3.0,1.0,21.0,3.0,18.0,0.0,0.0,5.0,155.0,26.0,100.0,25.0,69.0,16.0,1.0,13.0,68.0,85.0,16.0,0.0,69.0,4.0,4.0,4.0,1.0,2.0,0.16,16.0,16.0,16.0,5.0,0.0
src/KOKKOS/domain_kokkos.cpp,384aef4,2.0,23.0,1.0,75.0,441.0,86.0,5.0,5.0,6.0,1.0,26.0,2.0,23.0,1.0,0.0,18.0,602.0,75.0,433.0,99.0,289.0,86.0,0.0,8.0,292.0,384.0,67.0,0.0,317.0,42.0,42.0,44.0,1.0,4.0,0.2,91.0,91.0,104.0,18.0,0.0
src/KOKKOS/atom_kokkos.cpp,384aef4,3.0,16.0,2.0,49.0,166.0,49.0,3.0,3.0,3.0,1.0,21.0,3.0,16.0,2.0,0.0,10.0,264.0,49.0,156.0,17.0,117.0,49.0,0.0,10.0,122.0,147.0,15.0,0.0,132.0,13.0,13.0,13.0,4.0,2.0,0.31,26.0,26.0,26.0,13.0,0.0
src/KOKKOS/modify_kokkos.cpp,384aef4,0.0,11.0,0.0,74.0,395.0,116.0,2.0,2.0,2.0,1.0,12.0,0.0,11.0,0.0,0.0,34.0,585.0,74.0,389.0,82.0,245.0,116.0,0.0,6.0,215.0,298.0,82.0,0.0,216.0,6.0,6.0,6.0,1.0,2.0,0.3,82.0,82.0,82.0,34.0,1.0
src/KOKKOS/modify_kokkos.cpp,da41fcb,0.0,11.0,0.0,74.0,395.0,116.0,2.0,2.0,2.0,1.0,12.0,0.0,11.0,0.0,0.0,34.0,585.0,74.0,389.0,82.0,245.0,116.0,0.0,6.0,215.0,298.0,82.0,0.0,216.0,6.0,6.0,6.0,1.0,2.0,0.3,82.0,82.0,82.0,34.0,0.0
src/KOKKOS/atom_vec_full_kokkos.cpp,ea12e28,2.0,28.0,0.0,222.0,1999.0,103.0,5.0,5.0,5.0,1.0,30.0,2.0,28.0,0.0,0.0,64.0,2324.0,222.0,1988.0,555.0,1278.0,103.0,0.0,11.0,1374.0,1660.0,308.0,0.0,1352.0,32.0,32.0,32.0,1.0,4.0,0.05,291.0,291.0,294.0,64.0,1.0
src/KOKKOS/atom_vec_full_kokkos.cpp,b6be862,2.0,29.0,0.0,222.0,2011.0,103.0,5.0,5.0,5.0,1.0,30.0,2.0,29.0,0.0,0.0,64.0,2336.0,222.0,2000.0,567.0,1278.0,103.0,0.0,11.0,1374.0,1660.0,308.0,0.0,1352.0,32.0,32.0,32.0,1.0,4.0,0.05,291.0,291.0,294.0,64.0,0.0
