File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
src/compute_rdf.cpp,bc446bb,10.0,44.0,6.0,77.0,281.0,56.0,12.0,12.0,13.0,2.0,60.0,10.0,44.0,6.0,0.0,6.0,413.0,77.0,264.0,38.0,217.0,56.0,0.0,17.0,234.0,305.0,35.0,0.0,270.0,28.0,28.0,31.0,8.0,5.0,0.21,72.0,72.0,79.0,15.0,1.0
src/KOKKOS/pair_eam_fs_kokkos.cpp,bc446bb,6.0,28.0,3.0,215.0,821.0,141.0,6.0,6.0,7.0,1.0,37.0,6.0,28.0,3.0,0.0,27.0,1177.0,215.0,801.0,225.0,585.0,141.0,1.0,19.0,552.0,716.0,169.0,0.0,547.0,36.0,36.0,39.0,5.0,4.0,0.18,163.0,163.0,185.0,34.0,1.0
src/PERI/fix_peri_neigh.cpp,bc446bb,4.0,21.0,2.0,115.0,445.0,92.0,5.0,5.0,5.0,1.0,26.0,4.0,21.0,2.0,0.0,20.0,652.0,115.0,427.0,80.0,322.0,92.0,0.0,18.0,327.0,429.0,79.0,0.0,350.0,34.0,34.0,36.0,6.0,5.0,0.22,100.0,100.0,102.0,31.0,1.0
lib/colvars/colvarvalue.cpp,bc446bb,0.0,22.0,0.0,93.0,789.0,25.0,8.0,3.0,8.0,1.0,23.0,0.0,22.0,0.0,0.0,35.0,906.0,93.0,784.0,88.0,596.0,25.0,0.0,5.0,335.0,622.0,61.0,8.0,553.0,12.0,6.0,12.0,8.0,4.0,0.03,263.0,93.0,265.0,51.0,1.0
src/USER-TALLY/compute_stress_tally.cpp,bc446bb,3.0,16.0,1.0,48.0,171.0,30.0,3.0,3.0,5.0,1.0,19.0,3.0,16.0,1.0,0.0,10.0,248.0,48.0,162.0,35.0,117.0,30.0,0.0,9.0,121.0,155.0,32.0,0.0,123.0,6.0,6.0,10.0,1.0,3.0,0.19,34.0,34.0,47.0,10.0,1.0
lib/colvars/colvarcomp_coordnums.cpp,bc446bb,2.0,10.0,0.0,126.0,382.0,22.0,2.0,2.0,3.0,1.0,11.0,2.0,10.0,0.0,0.0,37.0,529.0,123.0,348.0,120.0,206.0,19.0,31.0,9.0,194.0,284.0,92.0,0.0,192.0,10.0,10.0,11.0,5.0,4.0,0.05,89.0,89.0,95.0,46.0,1.0
src/KOKKOS/pair_tersoff_mod_kokkos.cpp,bc446bb,6.0,31.0,1.0,236.0,964.0,67.0,5.0,5.0,6.0,2.0,38.0,6.0,31.0,1.0,0.0,29.0,1267.0,236.0,940.0,314.0,691.0,67.0,1.0,23.0,705.0,860.0,227.0,0.0,633.0,27.0,27.0,32.0,19.0,4.0,0.07,153.0,153.0,167.0,74.0,1.0
src/KOKKOS/pair_lj_cut_kokkos.cpp,bc446bb,3.0,17.0,1.0,54.0,209.0,33.0,4.0,4.0,4.0,1.0,20.0,3.0,17.0,1.0,0.0,10.0,296.0,54.0,185.0,42.0,128.0,33.0,1.0,23.0,111.0,144.0,25.0,0.0,119.0,11.0,11.0,13.0,1.0,2.0,0.18,35.0,35.0,41.0,10.0,1.0
src/KOKKOS/improper_harmonic_kokkos.cpp,bc446bb,7.0,40.0,2.0,78.0,351.0,43.0,7.0,7.0,9.0,1.0,48.0,7.0,40.0,2.0,0.0,8.0,472.0,78.0,332.0,78.0,253.0,43.0,1.0,18.0,225.0,286.0,62.0,0.0,224.0,25.0,25.0,33.0,1.0,4.0,0.13,58.0,58.0,74.0,8.0,1.0
src/pair_lj_expand.cpp,bc446bb,3.0,19.0,0.0,71.0,304.0,52.0,4.0,4.0,4.0,1.0,22.0,3.0,19.0,0.0,0.0,15.0,427.0,71.0,292.0,62.0,213.0,52.0,0.0,12.0,218.0,279.0,61.0,0.0,218.0,9.0,9.0,11.0,4.0,4.0,0.18,60.0,60.0,64.0,18.0,1.0
