,hash,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
6641,8d2b029814243f6ec71aea5acf40603a56d4695c,1,1,1,0.0,65,43,-65.0,16,10.991180555555555,12,105848.0,1.0909820373658172,3933,0,0,0
6642,f647429dc14a06f8a54e8e7d5b50a49de5153ecc,1,1,1,0.0,43,65,-43.0,16,0.19556712962962963,13,105849.0,6.113333727880689,3934,0,0,0
6643,cc9847bf4933d67b894018148e235552a4b957a2,2,2,2,0.4327501587887541,45,0,-48.5,16,6.291678240740741,34,105850.5,1.4172584029785433,3935,0,0,0
6644,4afb9c1bd3e891a83a5f1ff86f27b51899c21649,1,1,1,0.0,202,24,-51.0,16,2.2177546296296295,15,105852.0,1.4509065099627376,3936,0,0,0
6645,452016440f2fcfede7b69d95e050377400bf6242,1,1,2,1.0,18,2,646.0,1,7.351631944444445,38,105853.5,1.102018164901028,1084,0,0,0
6646,25eadfcde112ef8647a6f608cf9bd57f2aa50fc0,1,1,1,0.0,3,3,192.0,1,53.88185185185185,3,641.0,1.0185591245592207,4,0,0,0
6647,a5f8a05111d60a96d82796d54959396ab8e6f000,1,1,1,0.0,11,1,464.0,16,4.1699421296296295,31,105855.0,1.2398114815297974,4104,0,0,0
6648,7f0962883a4f5d458fffc2adac79997b0354ce29,2,2,2,0.17117909327394726,157,0,-49.5,16,9.409479166666667,30,105856.5,1.1391252301046184,3937,0,0,0
6649,0eb0e86ac333b37add371592c247cbf635addc97,1,1,1,0.0,13,8,127.0,16,0.996550925925926,16,105858.0,2.0034610113586213,3938,0,0,0
6650,2abe922bfb3edd05d8c050e509a9b72759446c64,2,2,2,0.26496353609662915,111,0,-32.5,16,9.974039351851852,29,105859.5,1.1249296061545224,3939,0,0,0
6651,294602ad5d4d821eafe0f882a5d3c6185183ca6a,1,1,1,0.0,69,61,-42.0,16,5.171712962962963,13,105861.0,1.1933595323563901,3940,0,0,0
6652,79ee312efdee308e36a93025d8789848bb4d2247,1,1,1,0.0,15,11,-34.0,16,0.06105324074074074,14,105862.0,17.379146919431278,3941,0,0,0
6653,d5a7e7a4f7520505aad4bd08f2b8ada559830013,2,2,2,0.783776947484701,30,0,149.5,16,7.553206018518518,58,151.5,1.0832250044080998,56,0,0,0
6654,ac212885a4176d5f855134402dc44823189aa088,1,1,1,0.0,1,1,67.0,16,5.455787037037037,35,5.0,1.1832916118630403,0,0,0,0
6655,bdd7830ea2c56eb1f8557fc75aa4e3774a85c133,2,2,2,0.17117909327394726,157,0,49.0,16,5.55462962962963,35,105863.5,1.135022503750625,3942,0,0,0
6656,23db35c614406f970b6c1a0819d96ca33ee1798e,1,1,1,0.0,20,156,367.0,16,6.071284722222222,71,8037.0,1.1647097847906527,1495,0,0,0
6657,976759f004b17a55272f3606a884970084de178e,2,2,2,0.18312206830137276,179,1,-33.0,16,6.136828703703704,35,105865.5,1.1222129598545516,3943,0,0,0
6658,21b7e99f712cca5676141af6e07b858aedaf4d7a,1,1,1,0.0,1,3,0.0,16,16.11744212962963,6,105867.0,1.0620445844915827,3944,0,0,0
6659,24c492440d4f4adfaf2fccd8007d2dca0b33c2a0,1,1,1,0.0,8,2,231.0,16,0.10471064814814815,72,8038.0,10.550127113960428,1496,0,0,0
6660,f1ae44a93140469423921a8e2fcff789e41c2086,1,1,1,0.0,62,18,-41.0,16,6.290555555555556,13,105868.0,1.1589684712532013,3945,0,0,0
6661,7b818566a0fbe7e8a101e3a0a5a0662d1d8dd7a0,1,1,1,0.0,18,62,3.0,16,0.013622685185185186,14,105869.0,74.40696686491079,3946,0,0,0
6662,f11b072adb776e0b604c7db713c54120ee8b0f56,2,2,2,0.11670201325810897,318,0,278.5,16,6.534664351851852,34,105871.5,1.1147725360656753,3947,0,0,0
6663,6478a6dcb74949c7b0a14f9c5adec4ac6c55c29b,1,1,1,0.0,1,1,36.0,8,790.0505324074074,1,105870.0,1.0012657418215425,2,0,0,0
6664,943b53dfbbefcd04882d4dc828cbb7af5ff01a0c,2,2,2,0.5586293734521992,62,30,164.5,16,1.2494097222222222,60,153.5,1.600283467192841,57,0,0,0
6665,b27fce207f5a357d8e7953f3e08adf90c7668c5c,2,2,2,0.11850235346775519,312,0,247.5,16,6.619456018518519,20,105873.5,1.113302361689814,3948,0,0,0
6666,fa76da74145d60cee667cf6aa130f85d09aadfdc,1,1,1,0.0,0,2,237.0,16,0.46771990740740743,73,105875.0,3.138031724035535,3949,0,0,0
6667,f1e8e65379ebd524b8505d0d7b78811a680aeb62,1,1,1,0.0,3,7,291.0,16,0.3709375,49,155.0,3.695871946082561,58,0,0,0
6668,04b618f430ebfb6d9e156c7572771e10044f9c40,1,1,2,0.8935711016541907,29,0,278.5,1,21.73654513888889,33,105876.5,1.0378928623919552,1086,0,0,0
6669,4f0a5d52a5ca7c17d4261394aec695fdc28c6e05,1,1,1,0.0,25,0,49.0,16,9.291886574074073,17,105879.0,1.1076207713071067,4111,0,0,0
6670,30f06fdd19bbe0c8f0720f9bbd73e8793ea5c5a9,1,1,1,0.0,5,1,-81.0,16,8.241087962962963,15,105880.0,1.1213432018313836,3951,0,0,0
6671,e714b172a3d330809d20c3a0d0c4f43400c081ca,1,1,1,0.0,13,13,-41.0,16,2.998136574074074,15,105881.0,1.3335405093441528,3952,0,0,0
6672,30ef9790f13aeec31e5ae4134c05ec6076ca376d,1,1,1,0.0,4,4,-33.0,16,9.306793981481482,14,105882.0,1.1074483868440395,3953,0,0,0
6673,5bcb1c16c6a2f2f07fcaa3737395df9e7f861c86,1,1,8,3.0,8,8,227.5,16,3.807411747685186,115,105886.5,1.0757361975202906,3961,0,0,0
6674,52fa120c6475666af4fbe1bb74647824953a1997,1,1,2,1.0,12,12,111.0,1,15.474924768518518,125,105891.5,1.034678362762353,1088,0,0,0
6675,da8ace020e733e765c9158337d48e7ebdc81bd16,1,1,2,1.0,16,2,654.0,1,7.382210648148148,40,105893.5,1.101595583727774,1090,0,0,0
6676,7ebef783c828e328f343a9df334f48c58e9a76fe,1,1,4,1.781937063546704,10,5,207.5,1,33.95745659722222,68,105896.5,1.0184274668648032,1094,0,0,0
6677,5be2078cdd95b4e5791c72cc6528f612ca1b2f2c,1,1,1,0.0,13,0,132.0,1,1.0126157407407408,8,105899.0,1.9875414333066637,1095,0,0,0
6678,97db8f3212a00b1c86258f279cca4ee5233b0fca,1,1,2,0.9485227302112393,160,17,327.0,17,1.187158564814812,107,1185.5,1.2194837295909382,87,0,0,0
6679,86c0b901fb1d93ea09c0a143628e8d2671c6fecc,2,2,14,3.360008708410483,0,3845,1.5,17,31.410812665343915,155,106882.5,3.746757098446694,4329,0,0,0
6680,3c550431130127e933c08068857f03adb5f6bc88,2,3,3,1.1863929342238186,0,46,254.66666666666666,16,-27.041018518518523,172,106891.0,0.9774005882695356,4330,0,0,0
6681,ee8a380dc4f9d36eaa9030c09fac946eff491fe8,2,3,3,0.5511458465806133,31,411,1239.0,16,-27.04128472222222,305,106894.0,0.9774008107459146,4343,0,0,0
6682,4fdd498aa22bf080fcf90d7af3063703509b2c54,1,2,4,1.551866420218305,16,39,565.5,17,-19.39113425925926,118,106897.5,0.9764778668304355,4334,0,0,0
6683,cdddbce212bc82ac175db3b35ebd26b0ad2a5f81,1,1,1,0.0,73,0,224.0,9,188.8786111111111,23,106933.0,1.0052944057250175,210,0,0,0
6684,e3c6fbcfd252404d61cf8fcdded160726e1c30ab,1,1,9,3.169925001442312,54,0,36.0,16,84.02638760288066,141,106493.0,1.0078058905471128,4221,0,0,0
6685,2d49d374395da6f98119a7a73ca39d2c88d30e9b,1,1,1,0.0,1,1,0.0,14,629.237025462963,1,106498.0,1.0015892262526418,1653,0,0,0
6686,c4723ae7c4bc340b12c2e7910a4885a3fa6ff6eb,1,1,1,0.0,2,2,111.0,16,106.93722222222222,38,106499.0,1.0093512808657208,1654,0,0,0
6687,6eaacc6dbbec6c7ca58a05ca4e853e7cbce1c964,1,1,1,0.0,7,5,342.0,1,3.0292939814814814,24,106500.0,1.3301099220191723,1237,0,0,0
6688,51162aa6243fd49429e3ccf0df5b6d83130a60e1,1,1,2,0.9927744539878084,20,0,217.0,1,5.473547453703704,152,106501.5,1.0913979388346795,1239,0,0,0
6689,c9f79cf7b3b8bd7a44cea8170d9802a5a2059710,1,1,1,0.0,17,1,36.0,1,344.48466435185185,3,106503.0,1.0029028868436902,876,0,0,0
6690,faf2fcb94408285dfe0b9361921863eb674360f7,2,6,6,1.795180548376301,56,57,124.16666666666667,17,34.00725115740741,245,106506.5,1.1741084643496293,4169,0,0,0
6691,6762fe1b5e16aa4430aa62a805b36de2f2cc4c05,1,1,1,0.0,83,75,127.0,17,1.761400462962963,24,106510.0,1.567730065380951,4170,0,0,0
6692,fd5bc7d9c4e45eb50dd67b36f28064b6d69b89f8,1,3,3,0.20528527723245715,354,353,291.6666666666667,17,70.24501543209875,50,106512.0,1.1120578948876998,1657,1,0,1
6693,7864a529d013c96f44dba102a000634ffefd8d73,1,1,1,0,0,0,0.0,1,0.0,0,106514.0,0.0,4171,0,0,0
6694,dfb2f687df4c634e711898eaae2c0e804098f703,1,1,1,0.0,1,1,38.0,16,190.03863425925925,38,106515.0,1.005262087911218,4172,0,0,0
6695,df1fe35511e2d8ce5e8228a74a0c7615d8521ba7,1,1,1,0.0,116,116,3120.0,16,15.082847222222222,108,106516.0,1.0663004792972148,188,0,0,0
6696,7f7611fb1a559dfb721b2c095c99298c817615d9,1,1,1,0.0,0,12,0.0,16,109.13274305555555,5,106517.0,1.0091631527990728,4226,0,0,0
6697,7c1ffb9e9b016671d729127de24b3c888955062d,2,3,3,0.8315435491770659,20,2,16.666666666666668,17,5.664212962962963,33,106519.0,90.04589145305907,4174,0,0,0
6698,c017bdb3c531fced444c7324b3c55fe85a727e2b,1,1,1,0.0,1,1,121.0,16,25.227291666666666,65,106521.0,1.0396396098801728,189,0,0,0
6699,9371bdf735e598fd9babd83645acb2b574b3d7ad,1,1,1,0.0,10,10,10372.0,16,4.002280092592593,233,106522.0,1.2498575753982828,190,0,0,0
6700,e03300259f247f9c6f769195c330363a3d75fd75,1,1,2,1.0,16,2,745.0,1,6.984733796296296,64,106523.5,1.107377034239686,1241,0,0,0
