Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
test_log.py,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,3.0,11.0,11.0,116.0,22.0,72.0,23.0,49.0,23.0,0.0,0.0,65.0,23.0,42.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.32,15.0,15.0,15.0,11.0,1.0
test_gro.py,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,33.0,5.0,13.0,9.0,4.0,15.0,0.0,0.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0
util.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
version.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core.py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hbond_analysis.py,3.0,3.0,3.0,1.0,34.0,4.0,17.0,14.0,1.0,24.0,23.0,1207.0,222.0,412.0,41.0,371.0,594.0,1.0,0.0,339.0,36.0,303.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,8.0,6.0,1.44,89.0,89.0,89.0,36.0,0.0
LAMMPS.py,3.0,3.0,3.0,2.0,8.0,0.0,8.0,1.0,3.0,4.0,4.0,167.0,33.0,47.0,11.0,36.0,91.0,0.0,0.0,46.0,11.0,35.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,1.94,12.0,12.0,12.0,10.0,0.0
TRR.py,1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,3.0,17.0,17.0,302.0,55.0,137.0,38.0,99.0,115.0,0.0,0.0,100.0,26.0,74.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,3.0,2.0,0.84,33.0,33.0,33.0,19.0,0.0
core.py,2.0,2.0,2.0,1.0,20.0,2.0,10.0,8.0,3.0,29.0,29.0,763.0,126.0,327.0,50.0,277.0,322.0,0.0,0.0,296.0,44.0,252.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,6.0,3.0,0.98,86.0,86.0,86.0,53.0,0.0
libxdrfile2.py,1.0,1.0,1.0,1.0,6.0,0.0,4.0,0.0,1.0,18.0,17.0,513.0,133.0,104.0,23.0,81.0,277.0,8.0,1.0,101.0,23.0,78.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,2.66,31.0,31.0,31.0,27.0,0.0
membrane-composition.py,5.0,5.0,5.0,3.0,36.0,0.0,2.0,1.0,0.0,2.0,1.0,117.0,21.0,79.0,7.0,72.0,24.0,121.0,2.0,53.0,7.0,46.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,6.0,3.0,0.3,11.0,11.0,11.0,7.0,0.0
core.py,4.0,4.0,4.0,3.0,36.0,4.0,13.0,19.0,0.0,4.0,4.0,190.0,32.0,57.0,8.0,49.0,102.0,0.0,0.0,44.0,8.0,36.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,3.0,1.79,16.0,16.0,16.0,13.0,1.0
libxdrfile2.py,1.0,1.0,1.0,1.0,6.0,0.0,4.0,0.0,1.0,18.0,17.0,552.0,152.0,104.0,23.0,81.0,297.0,8.0,1.0,101.0,23.0,78.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,2.86,31.0,31.0,31.0,27.0,1.0
fix_agsetterpluralization.py,3.0,3.0,3.0,1.0,17.0,0.0,17.0,3.0,1.0,1.0,1.0,39.0,6.0,29.0,5.0,24.0,7.0,0.0,0.0,20.0,5.0,15.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.24,3.0,3.0,3.0,1.0,1.0
test_dummy_old_MDA_code.py,1.0,1.0,1.0,1.0,73.0,0.0,0.0,0.0,1.0,1.0,0.0,237.0,52.0,93.0,18.0,75.0,92.0,1.0,0.0,93.0,18.0,75.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0
GROParser.py,3.0,3.0,3.0,3.0,37.0,4.0,22.0,11.0,1.0,1.0,1.0,80.0,14.0,28.0,7.0,21.0,38.0,0.0,0.0,26.0,7.0,19.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.36,3.0,3.0,3.0,3.0,1.0
lipid_order_parameters.py,2.0,2.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,8.0,18.0,2.0,16.0,4.0,2.0,0.0,17.0,2.0,15.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.22,2.0,2.0,2.0,1.0,1.0
test_psa.py,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,6.0,6.0,74.0,11.0,48.0,15.0,33.0,16.0,0.0,0.0,43.0,15.0,28.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.33,7.0,7.0,7.0,6.0,1.0
test_dcd.py,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,11.0,55.0,55.0,569.0,91.0,456.0,93.0,363.0,47.0,0.0,0.0,339.0,80.0,259.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,0.1,76.0,76.0,76.0,55.0,1.0
test_gro.py,1.0,1.0,1.0,1.0,6.0,0.0,5.0,1.0,5.0,32.0,32.0,280.0,44.0,202.0,53.0,147.0,40.0,0.0,0.0,144.0,47.0,97.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.2,35.0,35.0,35.0,32.0,1.0
test_pqr.py,1.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,2.0,11.0,11.0,105.0,15.0,86.0,21.0,65.0,5.0,0.0,0.0,60.0,21.0,39.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.06,12.0,12.0,12.0,11.0,1.0
test_trj.py,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,5.0,18.0,18.0,111.0,26.0,82.0,31.0,51.0,4.0,0.0,0.0,69.0,30.0,39.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.05,18.0,18.0,18.0,18.0,1.0
create_data.py,2.0,2.0,2.0,1.0,6.0,0.0,7.0,0.0,0.0,3.0,2.0,26.0,6.0,20.0,5.0,15.0,0.0,2.0,0.0,20.0,5.0,15.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,0.0,6.0,6.0,6.0,3.0,1.0
test_meta.py,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,4.0,4.0,82.0,11.0,30.0,13.0,17.0,41.0,0.0,0.0,26.0,13.0,13.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.37,7.0,7.0,7.0,4.0,1.0
test_modelling.py,1.0,1.0,1.0,1.0,10.0,1.0,8.0,1.0,3.0,17.0,17.0,240.0,49.0,157.0,36.0,121.0,34.0,0.0,0.0,142.0,33.0,109.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,1.0,0.22,24.0,24.0,24.0,17.0,1.0
test_topology.py,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,52.0,125.0,125.0,1299.0,311.0,837.0,198.0,639.0,171.0,0.0,0.0,719.0,188.0,531.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,2.0,0.2,142.0,142.0,142.0,125.0,1.0
test_transformations.py,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,84.0,74.0,73.0,771.0,179.0,566.0,163.0,403.0,26.0,1.0,0.0,534.0,163.0,371.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.05,77.0,77.0,77.0,74.0,1.0
